iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent
2775,90963968,70.02,467,17.33,0.0,192.78,-0.0014871535822749138,13.479569435119629,0.547214150428772,0.00043770408743171174,0.00321197509765625,0.0003,0.2712895377128954,0.8457583547557841,3.08,0.41,0.98,4.61,4.67,0.7,0.48,3.49,0.0,3.337920722514391,4.36,151.45,0.03788132476620376,nan
2776,90996736,148.717,440,18.69,0.0,209.41,-3.1532254070043564e-05,15.314536094665527,0.5199999809265137,8.026452648834947e-05,0.00046539306640625,0.0003,0.2322053675612602,0.8342857142857143,3.25,0.5,1.24,5.03,5.09,1.03,0.58,3.48,0.01,3.9181007814407347,4.79,161.85,0.04303388250991702,nan
2777,91029504,225.003,436,20.01,0.0,218.08,0.00024086842313408852,14.286352157592773,0.5384318828582764,0.00014495222654886675,0.00095367431640625,0.0003,0.2752633077142044,0.81445523193096,4.17,0.48,1.38,5.43,5.47,0.98,0.72,3.77,0.01,4.102033980786801,5.29,168.96,0.04079309245571494,nan
2778,91062272,300.839,435,20.37,0.0,228.31,0.0006009601056575775,12.59410285949707,0.5249975323677063,0.00011555761297188383,0.0006561279296875,0.0003,0.27240725697265095,0.8398727465535525,4.05,0.63,1.17,5.32,5.35,0.78,0.67,3.9,0.0,3.991604324877262,5.27,173.21,0.036842150264419615,nan
2779,91095040,374.841,437,20.33,0.0,227.01,0.00010471651330590248,11.78293514251709,0.5135354399681091,0.00014629261687559847,0.0008392333984375,0.0003,0.22018348623853212,0.8274058577405857,4.2,0.54,1.28,5.25,5.18,0.91,0.7,3.57,0.0,3.8637138694524764,5.25,166.01,0.03570588486036286,nan
2780,91127808,446.131,440,18.92,0.0,234.06,-0.00010240450501441956,15.669042587280273,0.5141009092330933,9.279436757481108e-05,0.00054931640625,0.0003,0.24447031431897556,0.8227990970654627,3.63,0.46,1.24,4.96,4.91,0.9,0.59,3.42,0.01,3.6966856119036673,5.01,168.65,0.037716060294769704,nan
2781,91160576,523.695,437,19.77,0.0,219.99,-9.572086855769157e-05,13.616859436035156,0.5470889806747437,0.00010744489389935552,0.00058746337890625,0.0003,0.23025210084033612,0.8552188552188552,3.94,0.44,1.13,4.97,4.81,0.7,0.52,3.59,0.0,3.5656335520744324,4.91,169.5,0.03779257938731462,nan
2782,91193344,600.735,436,19.68,0.0,217.68,0.00013611046597361565,12.125551223754883,0.5370597839355469,0.00017610231172682234,0.0010833740234375,0.0003,0.260979020979021,0.8231981981981982,3.82,0.38,1.15,4.89,4.71,0.65,0.6,3.46,0.0,3.4432140520215033,4.97,164.85,0.0328058153972961,nan
2783,91226112,676.687,435,19.05,0.0,213.66,-0.0042971158400177956,15.101629257202148,0.5105798244476318,0.003063821756768448,0.0289154052734375,0.0003,0.25810185185185186,0.8363228699551569,4.23,0.43,1.22,5.08,4.92,0.96,0.52,3.44,0.01,3.6006059029698374,4.93,163.36,0.040527873672544956,nan
2784,91258880,752.124,435,18.93,0.0,215.4,-0.008388081565499306,13.26123046875,0.5324278473854065,0.003348497256183691,0.02989959716796875,0.0003,0.22835528159148222,0.8258928571428571,3.81,0.46,1.12,5.22,5.17,0.89,0.72,3.56,0.0,3.947406200617552,4.55,162.11,0.03674213372869417,nan
2785,91291648,824.725,437,18.93,0.0,217.46,-0.004474916961044073,12.783437728881836,0.5394669771194458,0.004072089806385293,0.0356597900390625,0.0003,0.2593768032313907,0.8337129840546698,3.85,0.45,1.19,5.13,5.05,1.04,0.66,3.35,0.0,3.754945108294487,4.79,157.61,0.035400968918111175,nan
2786,91324416,901.483,436,19.55,0.0,239.46,-0.006854960694909096,15.012445449829102,0.5134437084197998,0.00391644546695602,0.03459930419921875,0.0003,0.2150477259966311,0.8080260303687635,3.79,0.37,1.18,4.72,4.56,0.76,0.64,3.16,0.0,3.469790884256363,4.97,167.39,0.038427358493208885,nan
