iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent
2074,67993600,53.777,609,16.59,0.0,183.83,0.00025077909231185913,12.374521255493164,0.5526372194290161,0.0003217917048345953,0.00217437744140625,0.0003,0.33101160862354895,0.8584656084656085,3.49,0.32,0.74,4.56,0.14,0.0,0.0,0.14,0.01,0.11463202580809594,3.89,146.2,0.03863316716160625,0.2912975521758199
2075,68026368,114.14,574,14.87,0.0,165.05,0.00014203321188688278,12.710116386413574,0.5335757732391357,7.72102912947048e-05,0.0003662109375,0.0003,0.3174086138255519,0.8895522388059701,3.03,0.31,0.87,3.82,0.15,0.0,0.0,0.15,0.0,0.1211809229850769,3.77,135.46,0.04432463471312076,0.24978473782539368
2076,68059136,181.744,540,17.51,0.0,197.49,-0.0001435559242963791,12.053380966186523,0.5386461019515991,0.00019413219412456328,0.00141143798828125,0.0003,0.3640463917525773,0.8710888610763454,2.53,0.39,1.0,5.05,0.17,0.0,0.0,0.17,0.0,0.10649645872414112,4.38,157.57,0.04318317899014801,0.2910816092044115
2077,68091904,247.409,529,17.63,0.0,193.8,0.0002597169950604439,12.986227035522461,0.5518003702163696,0.0002744216090206919,0.00194549560546875,0.0003,0.3687898089171974,0.8509554140127389,3.59,0.35,0.87,4.85,0.11,0.0,0.0,0.11,0.01,0.08471887469291688,4.3,155.71,0.0361375073553063,0.28892194386571646
2078,68124672,307.778,532,15.94,0.0,179.71,0.00018801609985530376,11.87802505493164,0.5461355447769165,0.0001304078794746033,0.000823974609375,0.0003,0.3382157123834887,0.8888888888888888,3.44,0.35,0.8,4.34,0.14,0.0,0.0,0.14,0.01,0.09308205172419548,3.92,152.1,0.04143715917598456,0.2952515138313174
2079,68157440,366.436,536,16.21,0.0,181.59,-2.856319770216942e-05,11.74779224395752,0.5303984880447388,0.0001284977104205609,0.00070953369140625,0.0003,0.29966777408637874,0.8757062146892656,3.85,0.31,0.96,4.13,0.07,0.0,0.0,0.07,0.0,0.05373529374599457,4.03,144.06,0.037695996230468154,0.3069940647110343
2080,68190208,426.611,537,15.76,0.0,176.08,0.00023465801496058702,11.886125564575195,0.5276029109954834,0.000140476683540669,0.0007781982421875,0.0003,0.2925965285157634,0.8626062322946175,3.15,0.28,0.82,4.18,0.16,0.0,0.0,0.16,0.0,0.10951886966824531,3.86,142.89,0.039108685683459044,0.2906381217762828
2081,68222976,483.74,541,15.34,0.0,186.2,-7.89053738117218e-05,12.61191177368164,0.5688204765319824,0.00012852411839503475,0.00081634521484375,0.0003,0.30817174515235457,0.8652482269503546,2.57,0.21,0.73,4.05,0.15,0.0,0.0,0.15,0.0,0.11870981127023697,3.67,145.3,0.04002002882771194,0.3202615808695555
2082,68255744,542.206,543,16.73,0.0,182.58,-0.009303906932473183,11.357259750366211,0.5266921520233154,0.0033336394585887774,0.02944183349609375,0.0003,0.3507661558960693,0.8639365918097754,3.46,0.35,0.93,4.41,0.18,0.0,0.0,0.18,0.0,0.1290031659603119,4.35,149.25,0.04006041050888598,0.28370894864201546
2083,68288512,599.549,546,17.02,0.0,214.66,-0.0029667718335986137,10.781492233276367,0.5095328688621521,0.003118955224920228,0.02964019775390625,0.0003,0.2994514359470797,0.8855263157894737,3.41,0.47,0.89,4.34,0.12,0.0,0.0,0.12,0.0,0.0677903051674366,4.11,153.46,0.03664330404717475,0.259924138430506
2084,68321280,657.602,548,17.49,0.0,201.12,-0.008139064535498619,10.20212173461914,0.5148459672927856,0.00324984071917811,0.03415679931640625,0.0003,0.2831943553559974,0.8812260536398467,3.18,0.4,0.99,4.58,0.14,0.0,0.0,0.14,0.0,0.10725000023841857,4.5,152.26,0.041107905679382384,0.30271397065371275
2085,68354048,716.689,548,17.93,0.0,208.48,-0.004396628122776747,11.719949722290039,0.522890031337738,0.002100453081368414,0.018402099609375,0.0003,0.26200738916256155,0.8830188679245283,3.7,0.47,0.93,4.67,0.28,0.0,0.0,0.28,0.0,0.19210719510912896,4.41,161.76,0.0400286172516644,0.2791210850700736
2086,68386816,773.771,550,18.83,0.0,211.97,-0.01060979999601841,10.827465057373047,0.49743422865867615,0.00278884597889828,0.02630615234375,0.0003,0.2867981790591806,0.8343057176196033,3.13,0.36,1.09,4.9,0.11,0.0,0.0,0.11,0.0,0.0782621817290783,4.82,164.31,0.038200826616957784,0.317019734531641
2087,68419584,830.363,552,17.06,0.0,189.06,-0.010719467885792255,10.16629409790039,0.5414978265762329,0.004104852052847718,0.0360565185546875,0.0003,0.3023026315789474,0.8558322411533421,3.26,0.23,0.82,4.64,0.19,0.0,0.0,0.19,0.0,0.13967888116836547,4.01,147.84,0.04132801142986864,0.33873376809060574
2088,68452352,889.433,552,17.82,0.0,192.31,-0.0044822655618190765,11.731456756591797,0.5156311988830566,0.0053955338742071035,0.0486907958984375,0.0003,0.2690815006468305,0.8521303258145363,3.86,0.49,1.04,4.84,0.18,0.0,0.0,0.18,0.0,0.12786480471491812,4.57,152.81,0.040190839557908475,0.3259037584066391
2089,68485120,944.761,554,17.33,0.0,200.1,-0.008164853788912296,9.862334251403809,0.5117195844650269,0.0033758745647389787,0.0280303955078125,0.0003,0.3294303797468354,0.8544776119402985,3.24,0.31,1.12,4.68,0.13,0.0,0.0,0.13,0.01,0.0935675872862339,4.62,155.25,0.04034696286544204,0.3518004398792982
2090,68517888,1004.282,554,15.76,0.0,171.31,-0.007849171757698059,11.430672645568848,0.5226715207099915,0.0031154840798990335,0.0268096923828125,0.0003,0.28216216216216217,0.8787023977433004,3.61,0.21,0.97,3.94,0.13,0.0,0.0,0.13,0.0,0.10299405932426453,4.0,140.8,0.0402447369415313,0.33716901298612356
2091,68550656,1061.621,555,16.26,0.0,180.3,-0.00748318899422884,10.995922088623047,0.520613431930542,0.0025751474212825087,0.0242156982421875,0.0003,0.24674880219028064,0.8656126482213439,3.09,0.38,1.01,4.57,0.13,0.0,0.0,0.13,0.01,0.1024667576700449,4.21,145.65,0.04109797056298703,0.3512514606118202
2092,68583424,1117.9,556,16.98,0.0,187.61,-0.009482458233833313,9.607816696166992,0.48571979999542236,0.0029253231161590065,0.02315521240234375,0.0003,0.2528127068166777,0.8599221789883269,2.75,0.41,1.12,4.84,0.13,0.0,0.0,0.13,0.0,0.0840561979264021,4.25,154.01,0.04281417862512171,0.34432349633425474
2093,68616192,1173.807,558,18.47,0.0,211.07,-0.009018061682581902,9.987100601196289,0.4876817762851715,0.0032541232834546463,0.0257568359375,0.0003,0.2616243025418475,0.8416666666666667,3.54,0.45,1.35,5.29,0.19,0.0,0.0,0.19,0.0,0.12630753636360167,4.85,167.37,0.03624350402969867,0.3357545016333461
2094,68648960,1232.993,558,18.34,0.0,205.61,-0.0074079218320548534,9.492218971252441,0.4793715476989746,0.002160983334249522,0.02152252197265625,0.0003,0.26214794181367995,0.8542168674698796,3.72,0.4,1.13,5.14,0.16,0.0,0.0,0.16,0.0,0.11798553287982941,4.64,159.49,0.03718589048366994,0.3328421311452985
2095,68681728,1291.007,558,16.55,0.0,183.88,-0.006788786966353655,9.68325138092041,0.5011394619941711,0.0020772587811279664,0.02136993408203125,0.0003,0.28199208443271767,0.8759791122715405,3.32,0.32,0.96,4.33,0.17,0.0,0.0,0.17,0.0,0.1390399432182312,4.22,155.03,0.04205644829198718,0.36223602667450905
2096,68714496,1350.923,557,17.47,0.0,189.72,-0.011418421752750874,9.711898803710938,0.5083509087562561,0.0038482549206264594,0.02965545654296875,0.0003,0.2995169082125604,0.8777348777348777,3.24,0.38,1.14,4.98,0.24,0.0,0.0,0.24,0.0,0.17021611757576466,4.58,159.66,0.04427309660241008,0.3540489412844181
2097,68747264,1414.123,556,15.27,0.0,243.45,-0.007490986026823521,8.89098072052002,0.5134978294372559,0.002457697853458285,0.0222320556640625,0.0003,0.27503628447024675,0.8540145985401459,3.02,0.32,0.83,4.0,0.24,0.0,0.0,0.24,0.0,0.18787499971687793,3.76,139.64,0.0447651173453778,0.3487818781286478
2098,68780032,1474.158,555,16.64,0.0,217.07,-0.004696665331721306,10.594148635864258,0.48866045475006104,0.0019587703240944165,0.01879119873046875,0.0003,0.2765885151206252,0.8469798657718121,3.08,0.42,1.06,4.56,0.26,0.0,0.0,0.26,0.0,0.1850505903363228,4.36,150.14,0.04077052348293364,0.35958640556782484
2099,68812800,1531.666,556,17.43,0.0,189.57,-0.009704074822366238,10.010477066040039,0.5064984560012817,0.0023324731780007824,0.0192108154296875,0.0003,0.26851549755301796,0.851010101010101,3.12,0.34,0.83,4.34,0.15,0.0,0.0,0.15,0.0,0.11078873693943024,4.33,152.95,0.03953827568329871,0.3732179868966341
2100,68845568,1590.601,556,15.54,0.0,173.44,-0.010509013198316097,12.282535552978516,0.5331032276153564,0.003719083507007781,0.037322998046875,0.0003,0.36332651670074984,0.848314606741573,3.04,0.37,0.87,3.87,0.13,0.0,0.0,0.13,0.01,0.09182011246681214,3.87,141.0,0.04289727460127324,0.38211146742105484
2101,68878336,1648.132,556,16.0,0.0,178.16,-0.008912850171327591,11.5173978805542,0.5368595719337463,0.002962327821819599,0.026092529296875,0.0003,0.287248322147651,0.8351800554016621,3.1,0.28,0.87,4.02,0.1,0.0,0.0,0.1,0.0,0.07542912364006042,4.02,146.46,0.039064718410372734,0.38642468489706516
