iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent
2775,90963968,102.867,318,28.02,0.0,148.29,9.978562593460083e-05,14.928571701049805,0.48932263255119324,0.000572392468001226,0.00461578369140625,0.0003,0.24641350210970464,0.8443708609271523,2.98,0.37,0.92,3.3,4.02,0.69,0.8,2.53,0.0,2.91098054677248,3.3,133.46,0.04341289331205189,nan
2775,90963968,100.396,326,26.52,0.0,142.42,0.0006300096865743399,14.812429428100586,0.4996243119239807,0.000494243813562889,0.0039215087890625,0.0003,0.2754182754182754,0.8456140350877193,2.44,0.37,0.85,3.19,3.62,0.72,0.61,2.29,0.01,2.564815866053104,3.17,128.06,0.042735406081192195,nan
2776,90996736,195.361,335,29.07,0.0,131.03,0.0004579667001962662,13.883522033691406,0.48894959688186646,0.00016561374825130315,0.00093841552734375,0.0003,0.3085955847815876,0.8496868475991649,2.35,0.19,0.75,2.59,3.39,0.63,0.62,2.14,0.0,2.5436356399953364,2.73,127.64,0.04542611911892891,nan
2777,91029504,277.52,354,26.69,0.0,137.38,0.00031884852796792984,14.348417282104492,0.511759340763092,0.0001340902753810269,0.0007781982421875,0.0003,0.3121951219512195,0.8117408906882592,1.94,0.23,0.69,2.89,3.23,0.5,0.72,2.01,0.01,2.4112324262410403,2.73,126.42,0.04483235185034573,nan
2778,91062272,371.259,353,27.41,0.0,161.36,-5.790870636701584e-05,15.528606414794922,0.4694194197654724,0.00013279396826249013,0.00081634521484375,0.0003,0.2934947049924357,0.8316831683168316,3.33,0.31,1.1,3.29,3.44,0.82,0.63,1.99,0.0,2.5811512795835734,3.81,145.35,0.04121863539330661,nan
2779,91095040,461.32,355,26.24,0.0,147.07,0.0004062638618052006,17.404949188232422,0.4981125593185425,0.0002056057663963884,0.00130462646484375,0.0003,0.24086108854589763,0.8114901256732495,2.5,0.36,0.89,3.0,3.41,0.78,0.61,2.02,0.01,2.490522495880723,3.27,127.82,0.040449987165629864,nan
2780,91127808,546.317,359,28.6,0.0,130.93,-0.00018300488591194153,13.357536315917969,0.5060869455337524,0.00014444537760027742,0.000579833984375,0.0003,0.316580554250822,0.8387755102040816,1.98,0.28,0.79,2.64,3.04,0.62,0.58,1.84,0.01,2.2600266683101653,2.67,127.22,0.04318719147704542,nan
2781,91160576,643.201,356,27.68,0.0,142.37,-0.0006420901045203209,13.474284172058105,0.5009793639183044,0.00013137035767840644,0.00072479248046875,0.0003,0.31271626297577854,0.8089285714285714,2.7,0.29,0.79,3.08,3.65,0.72,0.74,2.19,0.0,2.685980190951377,3.11,130.9,0.04089538031257689,nan
2782,91193344,733.618,357,25.44,0.0,150.78,0.0004083290696144104,16.538087844848633,0.5188276767730713,0.00012411527845301862,0.00077056884765625,0.0003,0.26839126919967665,0.8309352517985612,3.46,0.21,0.77,3.22,3.37,0.73,0.57,2.07,0.02,2.5379754907637833,3.2,129.12,0.04351962427608669,nan
2783,91226112,816.437,361,28.09,0.0,167.9,-0.011680119670927525,13.814679145812988,0.496822714805603,0.003823361399213354,0.033050537109375,0.0003,0.27407126611068994,0.7834890965732088,3.31,0.31,1.0,3.42,4.03,0.86,0.64,2.53,0.0,3.046058643460274,3.78,148.44,0.040446896571666,nan
