iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost
0,32768,61.582,532,4.802499997969717,0.0,100.41,4.088692367076874e-05,5.0969743728637695,0.7521617412567139,7.412054668520796e-05,5.340576171875e-05,0.0003,0.25025125628140704,0.7663755458515283,0.63,0.17,0.21,1.3,0.02,0.0,0.0,0.02,0.0,0.011375000178813934,1.8,86.94
1,65536,126.847,516,5.252499991618097,0.0,104.91,9.113922715187073e-06,5.027935981750488,0.7471148371696472,1.1141146750048847e-05,0.0,0.0003,0.27788649706457924,0.7739130434782608,0.49,0.14,0.2,1.3,0.01,0.0,0.0,0.01,0.0,0.0028749999403953554,1.97,88.63
2,98304,196.019,501,5.342500017397105,0.0,104.32,2.29664146900177e-06,4.244196891784668,0.739926278591156,9.10654529917565e-06,0.0,0.0003,0.3267228557263262,0.7361419068736141,0.66,0.29,0.18,1.43,0.07,0.0,0.0,0.07,0.0,0.04406617641448975,1.92,89.71
3,131072,261.38,501,5.8574999922327695,0.0,104.82,-1.9130297005176544e-05,3.4448955059051514,0.731418251991272,1.4881967315361067e-05,0.0,0.0003,0.24717999019127024,0.7521008403361344,0.75,0.18,0.29,1.42,0.04,0.0,0.0,0.04,0.0,0.028980519473552704,2.13,90.63
4,163840,326.562,501,5.550000005795154,0.0,104.48,0.00015653856098651886,2.9018893241882324,0.7266820669174194,1.6653161132751393e-05,0.0,0.0003,0.28423645320197044,0.7386609071274298,0.59,0.22,0.24,1.54,0.04,0.0,0.0,0.04,0.0,0.027054944634437562,1.88,90.99
5,196608,391.363,502,5.237999998657033,0.0,103.97,-2.804771065711975e-05,1.582511305809021,0.7364863157272339,1.4882743755606498e-05,0.0,0.0003,0.26428216592151016,0.7725321888412017,0.6,0.31,0.2,1.5,0.08,0.0,0.0,0.08,0.01,0.04877438962459564,1.75,88.48
6,229376,453.948,505,4.687499998454005,0.0,101.94,-6.511807441711426e-05,1.8070051670074463,0.7607709765434265,1.5389839820301177e-05,0.0,0.0003,0.3090631364562118,0.7545454545454545,0.61,0.18,0.14,1.47,0.04,0.0,0.0,0.04,0.0,0.029948529601097108,1.63,86.96
7,262144,516.484,507,6.222499989448115,0.0,108.08,-8.86525958776474e-06,1.8635289669036865,0.759900689125061,4.95963903546226e-06,0.0,0.0003,0.3291866028708134,0.7352941176470589,0.88,0.27,0.27,1.36,0.01,0.0,0.0,0.01,0.0,0.008999999761581421,2.08,91.71
8,294912,580.091,508,6.227500008754432,0.0,112.68,2.3885397240519524e-05,1.8042868375778198,0.7336028218269348,5.8743319080178935e-06,0.0,0.0003,0.2748511223087494,0.7832310838445807,0.57,0.3,0.26,1.44,0.01,0.0,0.0,0.01,0.0,0.0018390804529190064,2.21,93.54
9,327680,642.459,510,5.9275000305706635,0.0,109.56,-8.335337042808533e-07,1.4780851602554321,0.7583781480789185,5.715278334150753e-06,0.0,0.0003,0.2754698318496538,0.7816326530612245,0.71,0.27,0.31,1.58,0.02,0.0,0.0,0.02,0.0,0.01737500011920929,1.98,89.42
10,360448,715.313,503,6.124999999818392,0.0,107.03,-3.0963681638240814e-05,1.623542070388794,0.7368197441101074,4.490898142250899e-06,0.0,0.0003,0.30692575984055803,0.7638297872340426,0.84,0.2,0.3,1.61,0.06,0.0,0.0,0.06,0.0,0.03149230122566223,2.18,87.92
11,393216,781.803,502,5.73550000638701,0.0,107.88,1.198379322886467e-05,1.5571297407150269,0.7434218525886536,5.020369776786993e-06,0.0,0.0003,0.3200190204469805,0.7573221757322176,0.85,0.27,0.3,1.38,0.02,0.0,0.0,0.02,0.01,0.010256410241127015,2.08,92.6
12,425984,844.206,504,5.283000000275206,0.0,101.67,5.127210170030594e-05,1.5029934644699097,0.7463769316673279,5.8034640524340375e-06,0.0,0.0003,0.2970941883767535,0.7545871559633027,0.76,0.28,0.25,1.27,0.05,0.0,0.0,0.05,0.01,0.03760975658893585,2.0,88.77
13,458752,912.133,502,5.9124999941641,0.0,109.73,6.317859515547752e-05,1.4212322235107422,0.7332842350006104,2.787448046603913e-06,0.0,0.0003,0.2559580552907531,0.7323651452282157,0.66,0.27,0.24,1.39,0.03,0.0,0.0,0.03,0.0,0.018499999940395355,2.08,91.84
14,491520,972.427,505,5.310499991485849,0.0,106.03,1.814868301153183e-05,1.3939807415008545,0.7412910461425781,3.289120106941823e-06,0.0,0.0003,0.25172754195459035,0.8017241379310345,0.57,0.24,0.22,1.42,0.02,0.0,0.0,0.02,0.01,0.0125,1.97,89.47
15,524288,1038.249,504,5.698499999791384,0.0,107.43,0.012557120993733406,1.5466612577438354,0.6963011622428894,0.020849068638881363,0.104156494140625,0.0003,0.2936170212765957,0.7483443708609272,0.66,0.2,0.26,1.55,0.02,0.0,0.0,0.02,0.02,0.01899999976158142,2.15,93.52
16,557056,1106.606,503,6.402500012455275,0.0,118.02,-0.0054163457825779915,1.239528775215149,0.694922685623169,0.010108744897549444,0.0848858173076923,0.0003,0.14645103324348607,0.6888045540796964,0.69,0.29,0.26,1.9,0.05,0.0,0.0,0.05,0.0,0.03462500035762787,2.02,93.52
17,589824,1171.658,503,5.677500003571622,0.0,116.04,-0.004117298871278763,1.0241343975067139,0.6751300096511841,0.00900247237785834,0.0742950439453125,0.0003,0.08612001832340815,0.6480331262939959,0.61,0.33,0.28,1.88,0.06,0.0,0.0,0.06,0.0,0.04214939013123512,2.06,92.33
18,622592,1231.396,505,7.2550000065099445,0.0,127.15,-0.0011135954409837723,1.092252254486084,0.6511869430541992,0.00703336208222866,0.05462176983173077,0.0003,0.14143598615916955,0.5963302752293578,0.88,0.2,0.43,2.37,0.06,0.0,0.0,0.06,0.0,0.042250000089406964,2.28,97.49
19,655360,1293.142,506,6.857500012931414,0.0,123.29,-0.006418945267796516,0.9003768563270569,0.6568366289138794,0.0061172489754994785,0.05248260498046875,0.0003,0.08019494904740807,0.5483234714003945,0.95,0.21,0.31,2.25,0.07,0.0,0.0,0.07,0.0,0.04460864797234535,2.24,96.77
20,688128,1354.683,507,6.8950000020395965,0.0,119.74,0.011958873830735683,0.9678546786308289,0.6472203135490417,0.007953830586862191,0.05198317307692308,0.0003,0.10116009280742459,0.5515151515151515,0.85,0.37,0.24,2.26,0.04,0.0,0.0,0.04,0.0,0.030658668875694274,2.15,96.51
21,720896,1418.395,508,7.285000020358711,0.0,120.91,0.003395820502191782,0.8688932657241821,0.5980474948883057,0.009314272202888017,0.06578650841346154,0.0003,0.10832544938505204,0.6412213740458015,1.08,0.3,0.48,2.49,0.08,0.0,0.0,0.08,0.0,0.055764679610729215,2.32,99.77
22,753664,1483.304,508,7.787500017490238,0.0,121.0,-0.003979021683335304,0.7630805969238281,0.6210675835609436,0.007554151661508968,0.0520477294921875,0.0003,0.10989010989010989,0.6577946768060836,1.02,0.35,0.46,2.45,0.06,0.0,0.0,0.06,0.0,0.04986029386520386,2.28,102.37
23,786432,1544.207,509,7.907500025252812,0.0,120.87,-0.00795256718993187,0.8907835483551025,0.5994611978530884,0.006795563363311885,0.055908203125,0.0003,0.08243052284503062,0.5661080074487895,1.36,0.22,0.51,2.68,0.03,0.0,0.0,0.03,0.0,0.01602205902338028,2.41,104.93
24,819200,1605.37,510,8.607500010501827,0.0,128.73,0.004130600951611996,0.8136699199676514,0.5543951392173767,0.009584939809656134,0.06449127197265625,0.0003,0.07958023611718408,0.654320987654321,1.3,0.31,0.58,2.85,0.07,0.0,0.0,0.07,0.0,0.0415641026198864,2.56,107.65
25,851968,1669.578,510,8.673000019867905,0.0,126.96,0.009881533682346344,0.8874765038490295,0.5643947124481201,0.016215696223333416,0.08890474759615384,0.0003,0.10747232472324723,0.7135231316725978,1.77,0.2,0.53,2.9,0.06,0.0,0.0,0.06,0.01,0.054014706015586854,2.38,104.03
26,884736,1731.941,510,8.420500028450043,0.0,122.58,-0.003895166330039501,0.751510739326477,0.5711910128593445,0.006895468515352832,0.05536651611328125,0.0003,0.08171941426547001,0.6492805755395683,1.19,0.33,0.58,3.03,0.05,0.0,0.0,0.05,0.01,0.034096264243125916,2.44,105.09
27,917504,1791.44,512,8.330500034885482,0.0,130.11,-0.0036442652344703674,0.7541201114654541,0.611046314239502,0.009491004977693507,0.07138824462890625,0.0003,0.10305174701459531,0.6377816291161178,0.81,0.43,0.52,3.01,0.11,0.0,0.0,0.11,0.01,0.08143438518047333,2.38,110.35
28,950272,1850.052,513,9.470000008051283,0.0,137.12,-0.002052966970950365,0.7307574152946472,0.6217343807220459,0.007685892708195752,0.06967926025390625,0.0003,0.10141206675224647,0.6359060402684564,1.08,0.28,0.63,3.31,0.08,0.0,0.0,0.08,0.0,0.05591259956359863,2.68,114.03
29,983040,1913.864,513,9.332500040829181,0.0,132.13,-0.01144405733793974,0.6989269256591797,0.6207132339477539,0.008486900123273244,0.06661224365234375,0.0003,0.10803802938634399,0.6303236797274276,1.13,0.36,0.45,3.07,0.08,0.0,0.0,0.08,0.0,0.070625,2.57,112.68
30,1015808,1975.997,514,8.440000037699939,0.0,129.21,-0.0014171581715345383,0.7739185690879822,0.6049596071243286,0.0068601297967828805,0.05169208233173077,0.0003,0.12138728323699421,0.6605839416058394,0.8,0.37,0.39,3.1,0.12,0.0,0.0,0.12,0.0,0.08362599223852157,2.27,109.66
31,1048576,2037.154,514,9.683000029004178,0.0,136.28,0.0017776568420231342,0.936836838722229,0.6336836218833923,0.010305991163534145,0.06396484375,0.0003,0.060843111690569315,0.7483333333333333,1.11,0.32,0.45,3.44,0.1,0.0,0.0,0.1,0.01,0.06126179814338684,2.64,113.17
32,1081344,2096.05,515,10.097500021001323,0.0,141.08,-0.0017339922487735748,0.9444772005081177,0.606679379940033,0.005742276173805294,0.0471954345703125,0.0003,0.08031627132750728,0.7487266553480475,1.39,0.48,0.54,3.34,0.12,0.0,0.0,0.12,0.0,0.08159922212362289,2.69,116.78
33,1114112,2159.367,515,10.665000016340054,0.0,141.71,-0.007541939616203308,0.8891090154647827,0.5760847330093384,0.0028478969541652077,0.02666473388671875,0.0003,0.10528523489932885,0.8092868988391376,1.5,0.3,0.49,3.53,0.16,0.0,0.0,0.16,0.0,0.11146084100008011,2.94,122.19
34,1146880,2217.747,517,9.94750001876615,0.0,140.26,-0.007609473075717688,0.75411057472229,0.5799956321716309,0.004265143521053005,0.03823089599609375,0.0003,0.08710359408033827,0.7815699658703071,0.98,0.38,0.59,3.41,0.12,0.0,0.0,0.12,0.0,0.0890066722035408,2.49,117.3
35,1179648,2276.233,518,11.73500003351248,0.0,156.24,-0.005012432113289833,0.7892487049102783,0.5830456018447876,0.003958402517824311,0.03626251220703125,0.0003,0.08674054260603745,0.7972560975609756,1.35,0.46,0.65,4.01,0.22,0.0,0.0,0.22,0.0,0.15967893071472644,3.06,127.76
36,1212416,2338.149,518,11.785500035667791,0.0,153.39,-0.0038203722797334194,0.966123640537262,0.5707018375396729,0.00636272758796963,0.0512237548828125,0.0003,0.08870326173428798,0.8304821150855366,1.71,0.49,0.59,3.88,0.13,0.0,0.0,0.13,0.01,0.0988344682753086,2.92,127.57
37,1245184,2395.824,519,10.997500035946723,0.0,146.05,0.006409418303519487,0.8628110289573669,0.5671358704566956,0.014059600197718035,0.09767844460227272,0.0003,0.0912828947368421,0.8031496062992126,1.33,0.5,0.73,3.83,0.09,0.0,0.0,0.09,0.0,0.0771911770105362,2.89,120.55
38,1277952,2457.066,520,12.417500027307687,0.0,157.61,-0.0042124860920012,0.9756000638008118,0.5610417723655701,0.0030271570292370598,0.0275115966796875,0.0003,0.1151468315301391,0.800302571860817,1.64,0.46,0.65,4.45,0.18,0.0,0.0,0.18,0.0,0.14976965099573136,3.03,130.64
39,1310720,2514.645,521,12.903000033816788,0.0,158.36,-0.0006116831209510565,1.0603995323181152,0.5380661487579346,0.006853674920876074,0.0548248291015625,0.0003,0.11635098569771937,0.8229954614220878,1.98,0.38,0.77,4.54,0.11,0.0,0.0,0.11,0.01,0.09507352948188781,3.2,131.28
40,1343488,2574.391,521,11.29000004692818,0.0,147.59,-0.0024664034135639668,1.0789649486541748,0.5665506720542908,0.005356202913901598,0.0519561767578125,0.0003,0.11056105610561057,0.8154574132492114,1.32,0.43,0.67,4.07,0.08,0.0,0.0,0.08,0.0,0.05244767427444458,2.95,125.45
41,1376256,2636.646,521,13.592500024230684,0.0,165.48,-0.0036577964201569557,1.3962883949279785,0.5430457592010498,0.0008142483066677642,0.007415771484375,0.0003,0.12234848484848485,0.8379888268156425,1.6,0.55,0.79,4.84,0.19,0.0,0.0,0.19,0.0,0.14529966026544572,3.42,136.48
42,1409024,2696.22,522,12.887500039148144,0.0,162.61,-0.0026517296209931374,0.9923182725906372,0.5368075370788574,0.0028452479359941663,0.02553558349609375,0.0003,0.10446096654275093,0.8464849354375896,1.47,0.47,0.71,4.22,0.13,0.0,0.0,0.13,0.0,0.10368705809116363,3.36,135.86
43,1441792,2753.654,523,13.730000031203963,0.0,168.26,-0.00483331736177206,1.117713451385498,0.5127861499786377,0.005081273718362311,0.0342559814453125,0.0003,0.11123470522803114,0.8667582417582418,1.77,0.59,0.63,4.58,0.11,0.0,0.0,0.11,0.0,0.088524389564991,3.23,137.97
44,1474560,2812.336,524,11.850000036512501,0.0,154.86,-0.005962788593024015,0.9078475832939148,0.5330168008804321,0.0067789727665683586,0.05040740966796875,0.0003,0.09087317265902806,0.8678071539657853,1.57,0.5,0.56,4.3,0.1,0.0,0.0,0.1,0.0,0.08894117653369904,2.9,130.09
45,1507328,2870.176,525,13.430500055842566,0.0,160.69,-0.004724469967186451,1.0100500583648682,0.5141521692276001,0.0022145033310891904,0.02301025390625,0.0003,0.08282208588957055,0.8660968660968661,2.27,0.44,0.64,4.54,0.16,0.0,0.0,0.16,0.01,0.1290261623263359,3.17,135.22
