iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost
701,23003136,70.156,467,18.068398628286086,0.0,195.42,-0.010838828980922699,1.9517252445220947,0.5639818906784058,0.005094780854108194,0.040283203125,0.0003,0.24808184143222506,0.8909090909090909,1.89,0.4,0.76,5.11,0.17,0.0,0.0,0.17,0.01,0.13447699844837188,4.18,168.32
702,23035904,147.307,444,18.358108312385156,0.0,200.09,-0.011644002050161362,2.6495656967163086,0.548232913017273,0.003857133961901127,0.03510284423828125,0.0003,0.2669491525423729,0.8867469879518072,1.94,0.4,0.86,5.13,0.08,0.0,0.0,0.08,0.04,0.06458307981491089,4.5,160.51
703,23068672,215.373,456,19.694649959227537,0.0,211.19,-0.010881323367357254,1.919761061668396,0.5298106670379639,0.0038925306193391407,0.03243255615234375,0.0003,0.18627746012639182,0.8744343891402715,1.72,0.46,0.89,5.62,0.14,0.0,0.0,0.14,0.0,0.09788345843553543,4.45,171.09
704,23101440,292.706,447,18.41561402005842,0.0,197.86,-0.011859135702252388,2.273205518722534,0.5242977142333984,0.0029404176839307183,0.02692413330078125,0.0003,0.22273567467652494,0.8719512195121951,1.63,0.54,0.83,4.99,0.07,0.0,0.0,0.07,0.0,0.059227272272109985,4.3,165.55
705,23134208,366.123,447,17.310099222427233,0.0,215.36,-0.014508146792650223,2.194596290588379,0.5765417814254761,0.004662512048298595,0.03842926025390625,0.0003,0.20642618975447105,0.881851400730816,1.34,0.34,0.75,4.99,0.13,0.0,0.0,0.13,0.0,0.0962576499581337,4.32,165.17
706,23166976,440.192,446,16.888522650264203,0.0,208.94,-0.010557269677519798,1.9784495830535889,0.5539311766624451,0.004092326482776798,0.036468505859375,0.0003,0.22008679479231247,0.879951980792317,1.52,0.43,0.79,4.88,0.07,0.0,0.0,0.07,0.0,0.056160919666290283,4.14,162.13
707,23199744,518.383,442,15.209874090371887,0.0,178.07,-0.008951181545853615,2.4364283084869385,0.5792904496192932,0.0024070348736131564,0.024627685546875,0.0003,0.20324653364896855,0.8695073235685752,1.65,0.44,0.77,4.59,0.14,0.0,0.0,0.14,0.0,0.09684939920902252,3.92,150.65
708,23232512,590.014,444,16.410869495826773,0.0,189.88,-0.010640449821949005,2.0752053260803223,0.5552220344543457,0.0033706146193708264,0.0319061279296875,0.0003,0.2323500165727544,0.8863636363636364,1.79,0.61,0.76,4.9,0.07,0.0,0.0,0.07,0.02,0.057171057015657424,4.19,154.76
709,23265280,662.271,445,18.722052833270283,0.0,199.44,-0.015324462205171585,2.0735855102539062,0.5614698529243469,0.006420555237326653,0.0499420166015625,0.0003,0.19246728375359082,0.8671328671328671,1.99,0.47,0.83,5.08,0.2,0.0,0.0,0.2,0.01,0.14966020055115223,4.57,166.8
710,23298048,739.014,443,20.883693425713574,0.0,230.92,-0.013885295018553734,1.8583650588989258,0.5644515752792358,0.005136470993761577,0.03888702392578125,0.0003,0.18946121965660154,0.8699453551912568,1.99,0.56,1.03,5.63,0.14,0.0,0.0,0.14,0.01,0.11484033659100533,5.1,180.86
711,23330816,815.314,442,18.807240894096903,0.0,251.36,-0.01056423969566822,2.343749523162842,0.5626874566078186,0.004325835503948383,0.0406341552734375,0.0003,0.2641629535327817,0.856280193236715,1.23,0.46,0.88,5.42,0.14,0.0,0.0,0.14,0.0,0.10658301949501038,4.56,165.99
712,23363584,888.337,442,16.472199634739663,0.0,187.02,-0.011050472036004066,2.170619487762451,0.5773954391479492,0.004785635757308171,0.039154052734375,0.0003,0.262455226310648,0.8605527638190955,1.35,0.52,0.83,4.76,0.17,0.0,0.0,0.17,0.01,0.12065536946058274,4.07,156.67
713,23396352,963.05,442,18.08518290334614,0.0,196.32,-0.01272854395210743,2.0191121101379395,0.5772550106048584,0.0034307869345866493,0.034759521484375,0.0003,0.18592964824120603,0.8694117647058823,1.66,0.38,0.98,4.87,0.09,0.0,0.0,0.09,0.02,0.07156534284353257,4.54,164.43
714,23429120,1041.095,440,15.293878021123819,0.0,181.82,-0.00995543785393238,2.1747140884399414,0.5668767690658569,0.0033336992756289874,0.02764892578125,0.0003,0.2312992125984252,0.8577181208053691,1.25,0.32,0.81,4.92,0.09,0.0,0.0,0.09,0.0,0.07050000011920929,3.92,154.38
715,23461888,1116.121,440,18.70410490193055,0.0,204.95,-0.011300756596028805,1.8952778577804565,0.522411048412323,0.0036814503815492117,0.03359222412109375,0.0003,0.26094890510948904,0.8977272727272727,1.89,0.43,0.81,5.27,0.14,0.0,0.0,0.14,0.01,0.09386821061372758,4.42,165.84
716,23494656,1191.849,439,18.339337875805796,0.0,247.23,-0.01136696245521307,2.07774019241333,0.5388695597648621,0.003664831478488395,0.03092193603515625,0.0003,0.20893682588597842,0.8803716608594657,1.48,0.71,1.0,5.61,0.15,0.0,0.0,0.15,0.03,0.11501878023147583,4.56,165.67
717,23527424,1264.752,440,16.92112616618746,0.0,191.16,-0.011354024522006512,1.7888116836547852,0.5472597479820251,0.0025416436916714247,0.0246429443359375,0.0003,0.22622432859399685,0.8932655654383735,1.88,0.39,0.81,4.64,0.1,0.0,0.0,0.1,0.0,0.07779353022575379,4.27,157.82
718,23560192,1339.788,440,15.593309232669418,0.0,183.47,-0.011697730049490929,2.226315498352051,0.5576084852218628,0.0032364832989628667,0.03173828125,0.0003,0.23529411764705882,0.9010416666666666,1.38,0.35,0.64,4.66,0.09,0.0,0.0,0.09,0.0,0.07994499981403351,3.84,155.06
719,23592960,1416.38,439,17.01476539510535,0.0,195.07,-0.016747714951634407,2.2061915397644043,0.5510162115097046,0.0051936772968019795,0.03969573974609375,0.0003,0.25,0.8946716232961586,1.18,0.47,0.78,4.8,0.13,0.0,0.0,0.13,0.02,0.10606917023658752,4.27,157.97
720,23625728,1488.308,440,16.702187271271832,0.0,188.54,-0.00954545009881258,2.11775803565979,0.5476652383804321,0.002969265828483003,0.028472900390625,0.0003,0.3106206014075496,0.8807106598984772,1.44,0.51,0.78,4.97,0.09,0.0,0.0,0.09,0.02,0.06983093976974487,4.15,155.22
721,23658496,1558.223,441,17.203754373155533,0.0,189.57,-0.015509191900491714,2.2119686603546143,0.5681535005569458,0.003816856965727311,0.0343017578125,0.0003,0.21862996158770806,0.8753117206982544,1.54,0.4,0.8,4.88,0.17,0.0,0.0,0.17,0.01,0.1393779271841049,4.21,162.51
722,23691264,1624.075,443,17.011141229909846,0.0,191.94,-0.013595210388302803,2.043710708618164,0.5490264296531677,0.0034256074317795537,0.02855682373046875,0.0003,0.21638524077548468,0.8935361216730038,1.44,0.35,0.79,5.01,0.06,0.0,0.0,0.06,0.0,0.04099418699741363,4.19,157.7
723,23724032,1689.336,446,16.081495252265594,0.0,186.67,-0.010688073933124542,2.3007595539093018,0.5272674560546875,0.003471250250754565,0.027679443359375,0.0003,0.22460749759692406,0.8948717948717949,1.65,0.34,0.82,4.57,0.08,0.0,0.0,0.08,0.01,0.06666235685348511,4.17,155.61
724,23756800,1763.145,446,16.099813576033338,0.0,180.22,-0.012295834720134735,2.1587400436401367,0.534660816192627,0.0024886779962116634,0.02143096923828125,0.0003,0.24240400667779632,0.8887417218543047,1.79,0.55,0.72,4.7,0.13,0.0,0.0,0.13,0.01,0.09265189088881015,3.98,154.93
725,23789568,1834.291,446,17.737437025909312,0.0,190.6,-0.011638150550425053,2.018631935119629,0.540604293346405,0.003103452112100058,0.02993011474609375,0.0003,0.2697135500482781,0.8830049261083743,1.68,0.39,0.74,5.25,0.12,0.0,0.0,0.12,0.02,0.08663830488920211,4.38,159.44
726,23822336,1904.976,447,17.826128369832876,0.0,196.69,-0.012377375736832619,2.117023468017578,0.5157902240753174,0.004506277717666762,0.03997802734375,0.0003,0.24006163328197228,0.8605200945626478,1.56,0.46,0.82,5.42,0.13,0.0,0.0,0.13,0.01,0.10179245725274086,4.24,170.5
727,23855104,1978.516,447,19.382052131667734,0.0,208.22,-0.011608541011810303,2.0602927207946777,0.5248138904571533,0.003554496695301168,0.0297698974609375,0.0003,0.23424242424242425,0.906712172923777,2.12,0.51,0.88,5.51,0.22,0.0,0.0,0.22,0.01,0.171418576836586,4.48,173.37
728,23887872,2051.004,447,18.52219379296992,0.0,208.19,-0.01167183369398117,1.9513330459594727,0.5374339818954468,0.003648826503365399,0.0344085693359375,0.0003,0.20219244823386115,0.8637951105937136,1.77,0.4,0.93,5.4,0.16,0.0,0.0,0.16,0.02,0.12207487910985947,4.53,171.91
729,23920640,2124.141,447,17.45218449362088,0.0,187.18,-0.01315874233841896,2.071469783782959,0.5322089791297913,0.003487846191603694,0.03174591064453125,0.0003,0.23682498373454783,0.8795483061480552,1.83,0.36,0.73,4.83,0.07,0.0,0.0,0.07,0.0,0.047096264660358426,4.44,156.36
730,23953408,2194.727,447,18.550452507766895,0.0,199.56,-0.016052521765232086,1.978196382522583,0.5343335866928101,0.003972446828811371,0.03829193115234375,0.0003,0.25682888540031396,0.8442330558858502,1.19,0.46,0.86,5.54,0.14,0.0,0.0,0.14,0.01,0.10985763907432557,4.27,170.29
731,23986176,2263.541,448,16.26938589519588,0.0,187.48,-0.012697801925241947,1.7389975786209106,0.5180035829544067,0.003173334033935049,0.0272979736328125,0.0003,0.24440052700922266,0.8703939008894537,1.24,0.36,0.81,4.7,0.17,0.0,0.0,0.17,0.0,0.13256097555160523,4.17,157.18
732,24018944,2337.856,448,16.25167716760654,0.0,280.1,-0.015108244493603706,2.0177254676818848,0.5182279348373413,0.006352382356794806,0.04282379150390625,0.0003,0.21186150154268082,0.8560311284046692,1.75,0.5,0.88,4.45,0.12,0.0,0.0,0.12,0.03,0.09647828370332717,3.99,147.6
733,24051712,2407.82,449,18.388115809414302,0.0,204.13,-0.012799443677067757,2.070774793624878,0.5110766887664795,0.0059395122929686295,0.04824066162109375,0.0003,0.2598142043751873,0.8580024067388689,1.89,0.39,0.87,5.13,0.26,0.0,0.0,0.26,0.0,0.1990433305501938,4.4,169.35
734,24084480,2479.527,449,18.741625310673843,0.0,192.1,-0.010225722566246986,2.0194835662841797,0.5133958458900452,0.004793218332224569,0.04262542724609375,0.0003,0.31180753402975625,0.8593563766388558,1.7,0.58,0.77,5.17,0.13,0.0,0.0,0.13,0.02,0.09670638382434844,4.34,166.43
735,24117248,2548.719,449,17.438142507101876,0.0,193.16,-0.010125232860445976,2.1821908950805664,0.5101363062858582,0.0025397449608703937,0.0228729248046875,0.0003,0.2259980204552953,0.8721804511278195,1.68,0.48,0.72,5.04,0.13,0.0,0.0,0.13,0.01,0.10022722750902176,4.16,160.71
736,24150016,2621.193,450,18.260359439444727,0.0,204.73,-0.011170277372002602,2.281822681427002,0.512695848941803,0.004455658570464038,0.0364837646484375,0.0003,0.2545510644862697,0.8615751789976134,1.93,0.37,0.88,4.88,0.09,0.0,0.0,0.09,0.01,0.07369934618473054,4.43,164.35
737,24182784,2690.944,450,15.392915134365904,0.0,177.68,-0.012636933475732803,2.0046281814575195,0.5328360795974731,0.002999259145212818,0.02820587158203125,0.0003,0.3060486522024984,0.8980978260869565,1.35,0.45,0.58,4.34,0.09,0.0,0.0,0.09,0.01,0.07187212646007538,3.95,153.62
738,24215552,2759.812,451,16.942570696161127,0.0,253.39,-0.012543062679469585,1.7853388786315918,0.5142595767974854,0.0027953531268565257,0.0257720947265625,0.0003,0.3083118556701031,0.8809523809523809,1.78,0.44,0.77,4.94,0.1,0.0,0.0,0.1,0.0,0.07941278994083405,4.12,160.15
739,24248320,2831.252,451,17.705124068176374,0.0,194.02,-0.013079745694994926,1.854360580444336,0.5464237928390503,0.003923419374586956,0.03787994384765625,0.0003,0.20235069885641677,0.8871733966745843,1.62,0.5,0.69,5.25,0.16,0.0,0.0,0.16,0.03,0.11592156358063221,4.11,163.79
740,24281088,2903.852,451,17.30718565012794,0.0,196.45,-0.011143355630338192,1.9723765850067139,0.527557373046875,0.003899051737988657,0.03598785400390625,0.0003,0.2602040816326531,0.8997524752475248,1.78,0.46,0.78,4.94,0.11,0.0,0.0,0.11,0.0,0.07949999958276749,4.0,157.24
741,24313856,2978.054,451,18.924122167600725,0.0,304.98,-0.010198036208748817,1.8224997520446777,0.5145859718322754,0.004816971911594692,0.0400390625,0.0003,0.237346746306193,0.883855981416957,1.74,0.4,0.86,5.34,0.19,0.0,0.0,0.19,0.02,0.15703651040792466,4.56,165.26
742,24346624,3051.581,450,17.35316748734098,0.0,186.8,-0.013173486106097698,1.9492497444152832,0.5427409410476685,0.0045754314159580645,0.03900146484375,0.0003,0.20118343195266272,0.888030888030888,1.9,0.45,0.75,4.86,0.1,0.0,0.0,0.1,0.02,0.06954529285430908,4.3,164.36
