iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr
0,16384,37.2,440,4.78,0.0,67.68,-0.005642198491841555,0.7468985319137573,1.3031375408172607,0.003347367221067543,0.039886474609375,0.0003
1,32768,74.388,440,5.21,0.0,70.01,-0.007298870012164116,0.5767762660980225,1.2899622917175293,0.0022369455655280035,0.024017333984375,0.0003
2,49152,111.252,441,5.69,0.0,75.52,-0.004544461145997047,0.5928484797477722,1.2477190494537354,0.0025262426165681973,0.0338134765625,0.0003
3,65536,151.62,432,6.38,0.0,81.82,-0.005805841647088528,0.6166686415672302,1.220258116722107,0.0016140147417900153,0.0166473388671875,0.0003
4,81920,190.625,429,7.0,0.0,89.16,-0.005504346452653408,0.5252187848091125,1.2006750106811523,0.0011280528838142345,0.0045928955078125,0.0003
0,16384,34.222,478,4.78,0.0,67.68,-0.005642198957502842,0.7468985915184021,1.3031375408172607,0.0033473672283435008,0.039886474609375,0.0003
1,32768,67.27,487,5.21,0.0,70.01,-0.0072989556938409805,0.5767762660980225,1.2899622917175293,0.0022369459675246617,0.024017333984375,0.0003
2,49152,99.819,492,5.69,0.0,75.52,-0.004544456489384174,0.5928484797477722,1.2477190494537354,0.0025262435096919944,0.0338134765625,0.0003
3,65536,132.849,493,6.38,0.0,81.82,-0.005805939435958862,0.6166686415672302,1.220258116722107,0.0016140151842591877,0.0166473388671875,0.0003
4,81920,164.155,499,7.0,0.0,89.16,-0.0055044423788785934,0.5252187848091125,1.2006750106811523,0.001128053120282857,0.0045928955078125,0.0003
