iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent
2318,75988992,50.635,647,18.75,0.0,201.57,-0.0004773475229740143,8.044194221496582,0.5097182989120483,0.00042095945761388975,0.00337982177734375,0.0003,0.15297805642633228,0.8931818181818182,4.35,0.45,1.31,5.09,5.17,0.95,0.64,3.58,0.0,3.952677991390228,5.25,158.18,0.03766248165629804,nan
2319,76021760,104.094,629,19.65,0.0,209.53,-6.294948980212212e-05,6.328117370605469,0.48194947838783264,0.000134239168090744,0.00083160400390625,0.0003,0.17706422018348625,0.8964757709251101,4.32,0.45,1.42,5.42,5.39,0.99,0.79,3.61,0.01,4.046596223860979,5.51,164.42,0.04015271284151822,nan
2320,76054528,164.955,595,18.86,0.0,204.47,6.187846884131432e-05,6.225845813751221,0.47192347049713135,0.0001389863574274841,0.00095367431640625,0.0003,0.14654046997389034,0.8814139110604333,4.27,0.43,1.4,4.97,4.89,0.96,0.52,3.41,0.01,3.595065864920616,5.35,164.95,0.03866678930353373,nan
2321,76087296,223.388,586,18.58,0.0,195.54,0.0004925448447465897,5.577110290527344,0.4869360327720642,0.0001329810655761321,0.00095367431640625,0.0003,0.16335828180930687,0.8811764705882353,4.79,0.41,1.22,5.01,5.07,0.9,0.56,3.61,0.0,3.916882619559765,5.13,155.87,0.03587632527342066,nan
2322,76120064,280.447,584,19.71,0.0,216.77,-0.0005728332325816154,4.907473564147949,0.4749055504798889,0.00022381689919370729,0.00136566162109375,0.0003,0.15556919300398894,0.8849840255591054,4.65,0.56,1.42,5.25,5.46,1.07,0.71,3.68,0.0,4.071591911315918,5.43,161.83,0.04015801288187504,nan
2323,76152832,339.505,579,18.24,0.0,194.74,-0.00015138834714889526,4.760093688964844,0.4716096818447113,0.00012681419956095397,0.00074005126953125,0.0003,0.16300731869594146,0.8967193195625759,4.61,0.36,1.2,5.17,5.16,0.99,0.65,3.52,0.02,3.9038256965577602,5.1,153.3,0.035378571425098926,nan
2324,76185600,395.536,579,17.85,0.0,202.12,0.0003385450690984726,4.196053504943848,0.49655279517173767,0.00017193628676182016,0.00116729736328125,0.0003,0.1578604044357469,0.8863636363636364,4.55,0.41,1.09,4.6,4.61,0.91,0.46,3.24,0.0,3.523608804643154,4.75,154.68,0.035126251517795026,nan
2325,76218368,452.676,579,20.62,0.0,215.52,0.0006525591015815735,4.294455528259277,0.44780266284942627,0.00017987489019333225,0.00136566162109375,0.0003,0.17508813160987075,0.8785942492012779,4.96,0.49,1.43,5.44,5.58,1.06,0.72,3.8,0.0,4.2458592224121094,5.84,173.54,0.03795000724494457,nan
2326,76251136,511.88,576,19.97,0.0,209.14,-0.009305357933044434,3.9063143730163574,0.4470474123954773,0.0037106278747387478,0.02661895751953125,0.0003,0.17488514548238898,0.8838709677419355,4.47,0.39,1.4,5.18,5.13,1.02,0.61,3.5,0.0,3.9239157316088678,5.83,167.82,0.03609796636737883,nan
2327,76283904,572.322,572,19.26,0.0,205.39,-0.010130470618605614,4.423440933227539,0.4967381954193115,0.005597913856718151,0.0423736572265625,0.0003,0.18424206111443978,0.8734177215189873,3.96,0.46,1.34,5.32,5.52,0.99,0.59,3.94,0.0,4.071804655492306,5.29,166.01,0.040230268612504005,nan
2328,76316672,632.936,569,18.57,0.0,192.58,-0.009862381964921951,3.966867446899414,0.45598167181015015,0.005909418694670876,0.048187255859375,0.0003,0.21330786373766317,0.8892857142857142,3.88,0.41,1.17,5.03,5.11,0.97,0.58,3.56,0.01,3.7249353942275047,4.99,157.17,0.03452372725587338,nan
2329,76349440,689.969,569,18.37,0.0,193.63,-0.008112631738185883,3.8371224403381348,0.5040055513381958,0.004437673331608494,0.03685760498046875,0.0003,0.1902296991264963,0.8660170523751523,3.46,0.44,1.24,4.81,5.12,0.94,0.72,3.46,0.0,3.794042174220085,4.96,151.25,0.035982744419015944,nan
2330,76382208,749.52,568,19.37,0.0,211.49,-0.005921546369791031,3.592855453491211,0.5326486825942993,0.0018558347907742245,0.0168304443359375,0.0003,0.23642835953722932,0.8748577929465301,4.12,0.41,1.21,5.09,4.92,0.88,0.5,3.54,0.02,3.7076531785726545,5.1,160.38,0.03864493023138493,nan
2331,76414976,807.246,568,19.45,0.0,210.94,-0.009964406490325928,3.764753580093384,0.5104544162750244,0.0028482571921699673,0.02338409423828125,0.0003,0.22821941918451158,0.8849162011173184,4.03,0.55,1.31,5.29,5.52,1.03,0.76,3.73,0.0,4.0161970651894805,5.27,164.78,0.03896365419495851,nan
