iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take
300,8880128,57.374,571,20.44,0.0,217.77,-0.007182946428656578,0.9259188771247864,0.5752245187759399,0.004730812506778648,0.04579925537109375,0.0006,0.1912867859203693,0.6373056994818653
301,8912896,121.253,540,20.95,0.0,221.94,-0.005305456928908825,0.9136266708374023,0.5852177143096924,0.002088548147696656,0.0228424072265625,0.0006,0.2340484814711619,0.6364551863041289
302,8945664,188.996,520,20.6,0.0,213.21,-0.010662660002708435,0.9834574460983276,0.5602445602416992,0.0032927334073349357,0.03032684326171875,0.0006,0.21317157712305027,0.6648879402347919
303,8978432,248.583,527,20.14,0.0,205.85,-0.01059792097657919,0.9538125991821289,0.5495693683624268,0.004565244973321114,0.04061126708984375,0.0006,0.17557251908396945,0.665943600867679
304,9011200,317.191,516,21.17,0.0,230.84,-0.007998848333954811,1.2009668350219727,0.5477653741836548,0.004524453016905738,0.04123687744140625,0.0006,0.22926829268292684,0.6493092454835282
305,9043968,385.088,510,20.45,0.0,229.92,-0.011479409411549568,1.0252199172973633,0.5599026083946228,0.002528653882677645,0.02367401123046875,0.0006,0.21270801815431165,0.6388308977035491
306,9076736,454.007,505,22.01,0.0,221.36,-0.012438601814210415,1.0607609748840332,0.5645368099212646,0.003424524440077903,0.03360748291015625,0.0006,0.23300691244239632,0.6538839724680433
307,9109504,523.856,500,20.5,0.0,216.84,-0.012623226270079613,1.191131353378296,0.5805623531341553,0.0031927679788736896,0.02919769287109375,0.0006,0.2107257359370446,0.6422764227642277
308,9142272,593.987,496,21.73,0.0,226.71,-0.012559296563267708,0.9237847328186035,0.564325749874115,0.004455814320721174,0.039581298828125,0.0006,0.20455840455840457,0.6640851887705711
309,9175040,656.186,499,21.76,0.0,225.58,-0.00873477105051279,0.964011013507843,0.5416713953018188,0.003159880665165815,0.02878570556640625,0.0006,0.1792717086834734,0.6466019417475728
310,9207808,725.129,497,21.85,0.0,226.71,-0.004699073266237974,0.8466225862503052,0.5768194794654846,0.0029740524772563504,0.02819061279296875,0.0006,0.22872490811422108,0.6634050880626223
311,9240576,792.384,496,23.4,0.0,245.06,-0.011815603822469711,0.8132237195968628,0.5357865691184998,0.005277807972632331,0.045745849609375,0.0006,0.16447021613073273,0.662962962962963
312,9273344,857.087,497,21.11,0.0,216.11,-0.010600808076560497,1.413965106010437,0.5547897815704346,0.003478952286286585,0.0338134765625,0.0006,0.20730994152046783,0.6687116564417178
313,9306112,926.269,495,21.84,0.0,222.97,-0.015748921781778336,1.3795236349105835,0.5812156200408936,0.0036794371662836056,0.03357696533203125,0.0006,0.2715099715099715,0.618
