iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux
0,32768,79.174,413,6.345803827829659,0.0,120.03,0.00046819495037198067,5.769303321838379,0.7352323532104492,0.00026740875034647615,0.00150299072265625,0.0003,0.1258445945945946,0.8063063063063063,0.72,0.17,0.2,1.28,0.01,0.0,0.0,0.01,0.0,0.00675000011920929,1.92,89.57,0.047630741144530475
1,65536,165.576,395,5.287573076921981,0.0,119.18,-7.291603833436966e-05,4.828357219696045,0.7251253724098206,1.5200925307823354e-05,0.0,0.0003,0.11823899371069183,0.7576470588235295,0.44,0.25,0.17,1.33,0.04,0.0,0.0,0.04,0.0,0.02998611092567444,1.78,87.59,0.04039996222127229
2,98304,250.816,391,5.575503930076957,0.0,121.19,-0.00018455460667610168,3.655323028564453,0.7439401149749756,6.756370346749918e-06,0.0,0.0003,0.08904682274247491,0.7166276346604216,0.57,0.34,0.16,1.32,0.05,0.0,0.0,0.05,0.0,0.04449999988079071,1.76,90.09,0.0444806064479053
3,131072,330.631,396,6.34695430249907,0.0,124.94,0.00010913563892245293,3.430331230163574,0.7292487621307373,6.472936497914361e-06,0.0,0.0003,0.09008264462809917,0.7601809954751131,0.76,0.19,0.2,1.49,0.01,0.0,0.0,0.01,0.01,0.007124999761581421,1.91,89.0,0.046078030951321125
4,163840,411.788,397,5.164142264146358,0.0,119.67,-8.428841829299927e-05,3.28438663482666,0.7368035912513733,1.058886100224754e-05,0.0,0.0003,0.11930860033726813,0.7320574162679426,0.57,0.25,0.15,1.4,0.04,0.0,0.0,0.04,0.0,0.026875,1.72,86.83,0.03988649253733456
5,196608,488.932,402,5.74681327062659,0.0,115.85,-3.765430301427841e-05,3.2993879318237305,0.7283365726470947,2.4050908933759274e-05,0.0,0.0003,0.10165696372592924,0.7608695652173914,0.5,0.31,0.2,1.37,0.07,0.0,0.0,0.07,0.0,0.05257338285446167,1.82,87.5,0.04127846157643944
6,229376,573.78,399,5.796354940384626,0.0,123.17,0.00019661616533994675,3.2596189975738525,0.7455799579620361,1.863183273087543e-05,7.62939453125e-06,0.0003,0.07789559543230017,0.728735632183908,0.64,0.27,0.13,1.18,0.09,0.0,0.0,0.09,0.01,0.06275000035762787,1.67,89.41,0.04150887543801218
7,262144,654.282,400,6.212794876352418,0.0,137.71,-2.428167499601841e-05,3.011612892150879,0.7294340133666992,1.0906381291420075e-05,0.0,0.0003,0.5386828644501279,0.7668161434977578,0.67,0.22,0.23,1.39,0.01,0.0,0.0,0.01,0.0,0.01,1.8,88.96,0.040457183262333274
8,294912,730.691,403,6.436725926380604,0.0,123.26,-5.087070167064667e-05,2.628993272781372,0.744307279586792,1.100826174038616e-05,0.0,0.0003,0.10721735502711723,0.7666666666666667,0.74,0.28,0.2,1.47,0.01,0.0,0.0,0.01,0.0,0.01,1.9,87.94,0.04034229903481901
9,327680,810.022,404,6.4003608920704576,0.0,125.93,3.0687078833580017e-06,2.7549705505371094,0.7250436544418335,9.069203276368398e-06,0.0,0.0003,0.09266092660926609,0.7065217391304348,0.73,0.28,0.17,1.5,0.04,0.0,0.0,0.04,0.0,0.028531715869903565,1.84,91.07,0.03668070590356365
