iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux
0,32768,28.868,1135,0.1977344617806375,0.52,24.52,-0.010667654685676098,11.315595626831055,0.43538999557495117,0.01477629647735057,0.09413909912109375,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,65536,57.037,1149,0.35257762802764775,0.6,25.76,-0.007419412024319172,8.50035572052002,0.42189839482307434,0.008675549987927411,0.0695953369140625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,98304,85.437,1150,0.15554992194287479,0.54,24.56,-0.0094078928232193,6.399438858032227,0.4520537853240967,0.008411251144934795,0.06607818603515625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,131072,116.544,1124,0.21832299803383648,0.58,25.43,-0.00988010223954916,5.059598445892334,0.4381188750267029,0.00736680534166112,0.06359100341796875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,163840,152.828,1072,0.22998838347382844,0.58,23.74,-0.010567502118647099,3.9673781394958496,0.45880556106567383,0.00765360108893276,0.06410980224609375,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,196608,190.454,1032,0.14160691630095243,0.56,27.39,-0.010942676104605198,3.0714120864868164,0.4726230800151825,0.00684197672700293,0.06238555908203125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,229376,226.056,1014,0.40602331487461923,0.7,25.3,-0.012578940019011497,2.1166224479675293,0.475281298160553,0.00766098401555837,0.063995361328125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,262144,267.98,978,0.3448359645158052,0.62,25.82,-0.009230215102434158,1.5147109031677246,0.47158002853393555,0.006335164094480206,0.05753326416015625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,294912,309.328,953,0.36005483770743013,0.67,27.17,-0.007843850180506706,0.9612842202186584,0.48439106345176697,0.0070695651338326115,0.06397247314453125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,327680,347.708,942,0.2876774727553129,0.6,26.58,-0.009087968617677689,0.602290689945221,0.4932720959186554,0.006561272993764078,0.0604705810546875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,360448,386.544,932,0.27014271563850345,0.61,26.46,-0.013400828465819359,0.3793075680732727,0.5028606653213501,0.004958773777843817,0.0511932373046875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,393216,425.747,923,0.3401505151670426,0.65,26.18,-0.010569466277956963,0.18779343366622925,0.5123992562294006,0.005316970906079632,0.04903411865234375,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,425984,463.441,919,0.22366413646377623,0.59,27.47,-0.006476834416389465,0.10844839364290237,0.513334333896637,0.004404160382421196,0.0439453125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,458752,499.977,917,0.36585102063603697,0.63,24.69,-0.010419119149446487,0.057861194014549255,0.5148686170578003,0.005040945397126961,0.0490875244140625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,491520,537.631,914,0.37030087215825913,0.65,25.43,-0.010123079642653465,0.03821858391165733,0.5002161264419556,0.005239597011865271,0.048553466796875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,524288,574.426,912,0.36033590792678294,0.66,27.09,-0.008995309472084045,0.03516831248998642,0.5008646249771118,0.007749814144176526,0.0647735595703125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,557056,612.329,909,0.28238387282937766,0.59,24.88,-0.010134082287549973,0.03357651084661484,0.4929250478744507,0.007737202149911582,0.0618438720703125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,589824,649.765,907,0.2746073602512479,0.63,26.46,-0.010958725586533546,0.02826697751879692,0.5167893767356873,0.009009841958771858,0.0692596435546875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,622592,686.697,906,0.3185671393852681,0.63,25.28,-0.013747448101639748,0.030582377687096596,0.5023770332336426,0.008880467465189668,0.07009124755859375,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,655360,723.298,906,0.21526452191639692,0.58,27.01,-0.010830435901880264,0.030765226110816002,0.49040091037750244,0.00804954246723355,0.06464385986328125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,688128,760.228,905,0.3862395146302879,0.65,24.5,-0.013107864186167717,0.029715148732066154,0.49994343519210815,0.008127570844777665,0.0677032470703125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,720896,796.63,904,0.2682180470507592,0.6,27.24,-0.013520284555852413,0.029307454824447632,0.4933449327945709,0.008274801655829833,0.06696319580078125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,753664,833.437,904,0.293945508482866,0.61,26.88,-0.009664835408329964,0.02764081582427025,0.49390512704849243,0.006661093253171657,0.0572509765625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,786432,869.904,904,0.36209607967641205,0.62,25.79,-0.011540899984538555,0.025845443829894066,0.48908761143684387,0.006293244464586678,0.05670166015625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
