iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr
185,5111808,46.796,700,17.11,0.0,182.92,-0.005409574136137962,0.675462543964386,0.48234695196151733,0.0027734433562045524,0.02801513671875,0.0006
186,5144576,95.214,688,19.08,0.0,200.12,0.0002408921718597412,0.7989636659622192,0.46151334047317505,0.004836752561416802,0.03978729248046875,0.0006
187,5177344,143.047,687,18.55,0.0,198.89,-0.0010663424618542194,0.8729555606842041,0.4855271577835083,0.005051587922054068,0.04206085205078125,0.0006
188,5210112,190.691,687,18.25,0.0,193.27,-0.004207442980259657,0.6727237105369568,0.46441614627838135,0.005086120756800483,0.03948974609375,0.0006
189,5242880,237.283,690,17.5,0.0,186.88,-0.01293713878840208,0.876126229763031,0.4915999472141266,0.010558360430309222,0.0618743896484375,0.0006
190,5275648,286.686,685,16.24,0.0,182.51,-0.0015676077455282211,1.2025350332260132,0.5173349380493164,0.009331675027340225,0.06563568115234375,0.0006
191,5308416,335.579,683,18.06,0.0,194.28,-0.007832460105419159,1.0466102361679077,0.5595091581344604,0.005611313251449701,0.04742431640625,0.0006
192,5341184,384.625,681,16.97,0.01,175.49,0.003168085590004921,1.575322151184082,0.5673658847808838,0.005674000870101281,0.045623779296875,0.0006
193,5373952,433.495,680,13.2,0.0,145.82,-0.005824902094900608,1.9964799880981445,0.5701545476913452,0.006804265042291036,0.05999755859375,0.0006
194,5406720,484.571,676,15.0,0.0,159.43,-0.008860276080667973,1.4445043802261353,0.6066921949386597,0.00421523344562047,0.0419921875,0.0006
195,5439488,533.239,675,18.31,0.0,214.87,-0.007674301043152809,0.813976526260376,0.5414338111877441,0.004170968079478143,0.03667449951171875,0.0006
196,5472256,580.617,677,17.21,0.0,184.75,-0.004544719122350216,1.302539587020874,0.501406192779541,0.008699719556127949,0.0572820925245098,0.0006
197,5505024,628.911,677,18.0,0.0,191.59,-0.006655830889940262,1.0064762830734253,0.5166771411895752,0.00457376746379623,0.03977203369140625,0.0006
198,5537792,675.498,679,17.51,0.0,186.9,-0.003938200883567333,0.797271728515625,0.5112490057945251,0.00445261204737335,0.03974151611328125,0.0006
199,5570560,727.622,675,18.28,0.0,202.55,-0.004028295166790485,1.0067667961120605,0.5518215894699097,0.006918634772560495,0.05224609375,0.0006
200,5603328,779.58,672,16.92,0.0,182.3,-0.008741457015275955,1.2299280166625977,0.6020770072937012,0.003968118516240793,0.03710174560546875,0.0006
201,5636096,827.37,673,16.34,0.0,175.99,-0.004171642940491438,1.1135306358337402,0.59210205078125,0.007359284164891733,0.05629730224609375,0.0006
202,5668864,874.482,674,15.92,0.0,164.92,-0.0036524049937725067,1.12091863155365,0.5782064199447632,0.004928396207560581,0.04508209228515625,0.0006
203,5701632,925.386,672,16.34,0.0,172.63,-0.007706998381763697,0.9654140472412109,0.5717754364013672,0.004925377269501041,0.044677734375,0.0006
204,5734400,970.05,675,17.48,0.0,188.47,-0.007176499348133802,0.8774878978729248,0.5416829586029053,0.006699090419601816,0.05622100830078125,0.0006
205,5767168,1019.248,675,18.69,0.0,202.48,-0.006250530481338501,1.1055409908294678,0.5508204698562622,0.006427798306390287,0.05230712890625,0.0006
206,5799936,1068.024,674,17.12,0.0,184.89,-0.00953295174986124,0.8627156615257263,0.5563759803771973,0.009509544335912778,0.07244873046875,0.0006
207,5832704,1118.404,673,16.91,0.0,189.04,-0.011361431330442429,1.0116186141967773,0.5633257031440735,0.008304614837186364,0.0651092529296875,0.0006
208,5865472,1168.967,672,15.48,0.0,167.81,-1.5140511095523834e-05,1.234144687652588,0.5848440527915955,0.006001340870739114,0.0525360107421875,0.0006
209,5898240,1220.323,671,16.04,0.0,169.86,-0.0022838031873106956,0.9519229531288147,0.5865843296051025,0.007248256871378089,0.06343841552734375,0.0006
210,5931008,1267.443,672,16.19,0.0,169.48,-0.010011408478021622,0.987796425819397,0.6168546676635742,0.00390905373069117,0.0394439697265625,0.0006
211,5963776,1317.412,671,15.88,0.0,168.86,-0.01124432310461998,1.2172386646270752,0.5747894644737244,0.0066592799218767595,0.0597686767578125,0.0006
212,5996544,1361.958,673,16.78,0.0,179.56,-0.0073893629014492035,0.7183151245117188,0.588252067565918,0.0057085473689530986,0.04862213134765625,0.0006
213,6029312,1409.791,674,16.72,0.0,176.59,-0.0033905189484357834,1.1452696323394775,0.6323639154434204,0.004080517581286358,0.0366363525390625,0.0006
214,6062080,1456.513,674,17.88,0.0,189.85,-0.011635129339993,0.9590444564819336,0.5761128067970276,0.007661300881864008,0.054901123046875,0.0006
215,6094848,1503.802,675,17.2,0.0,183.12,-0.0018599322065711021,0.8614535331726074,0.5944258570671082,0.0050734820112126044,0.046661376953125,0.0006
216,6127616,1550.9,676,16.28,0.0,171.96,-0.004925157409161329,1.0714483261108398,0.6406604647636414,0.003138261018079902,0.03131866455078125,0.0006
217,6160384,1599.792,675,16.05,0.0,187.05,-0.00638567004352808,0.7474188804626465,0.5938707590103149,0.004800329442844031,0.040008544921875,0.0006
218,6193152,1651.638,674,17.3,0.0,187.67,-0.003472898155450821,0.7228845357894897,0.5464739799499512,0.004930763890975243,0.03856658935546875,0.0006
219,6225920,1702.455,673,16.74,0.0,182.64,-0.0107815470546484,0.9381652474403381,0.5989524126052856,0.007192802818494215,0.05104827880859375,0.0006
220,6258688,1752.017,673,16.61,0.0,192.58,-0.010332915931940079,0.8527231812477112,0.621373176574707,0.004676161896327358,0.0437469482421875,0.0006
221,6291456,1799.66,673,15.26,0.0,171.36,-0.007430091500282288,0.7968473434448242,0.6080572009086609,0.003550734242253384,0.034423828125,0.0006
222,6324224,1850.394,672,17.36,0.0,193.75,-0.009386729449033737,0.5702247023582458,0.5712637901306152,0.00937911844899645,0.050400390625,0.0006
