iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent,potions_discarded
3302,110559232,5537.472,627,19.82,0.0,224.56,-0.000523347407579422,34.92364501953125,0.5229743719100952,0.00788160782695968,0.06545639038085938,0.0003,0.20515046296296297,0.8074074074074075,4.19,0.42,1.62,5.83,5.76,1.27,0.69,3.8,0.01,4.285802702903748,5.67,169.35,0.039322948548942804,nan,0.01
3303,110624768,5642.578,627,21.37,0.0,246.72,-0.011144579388201237,31.85508155822754,0.5216984748840332,0.005353201659701767,0.042133331298828125,0.0003,0.22919625106503835,0.7983789260385005,4.39,0.62,1.53,5.88,5.97,1.11,0.83,4.03,0.0,4.464256427288055,6.11,178.3,0.03500514500774443,nan,0.04
3304,110690304,5744.968,627,20.16,0.0,215.5,-0.0078054750338196754,37.472137451171875,0.5189247727394104,0.0046119568990263815,0.044490814208984375,0.0003,0.21219366407650928,0.8253796095444685,4.68,0.46,1.55,5.53,5.42,1.27,0.62,3.53,0.02,4.168520869761705,5.79,170.63,0.037995610502548516,nan,0.0
3305,110755840,5842.057,628,19.36,0.0,216.51,-0.0021992947440594435,35.40834426879883,0.5203824043273926,0.002747178454569621,0.025665283203125,0.0003,0.20941176470588235,0.8384279475982532,4.3,0.53,1.42,5.38,5.32,0.99,0.58,3.75,0.02,3.956538759469986,5.32,168.77,0.03910285036545247,nan,0.02
3306,110821376,5945.417,628,19.07,0.0,209.81,-0.008107260800898075,31.38741683959961,0.5392558574676514,0.004409593464146155,0.042118072509765625,0.0003,0.23245749613601235,0.8107502799552072,3.87,0.48,1.31,5.49,5.69,1.17,0.62,3.9,0.02,4.292983869016171,5.13,161.33,0.03775535384193063,nan,0.01
3307,110886912,6056.935,627,19.98,0.0,223.65,-0.0062421150505542755,33.20917510986328,0.5064255595207214,0.00436888328138707,0.04193878173828125,0.0003,0.22255639097744362,0.8171926006528836,4.67,0.4,1.64,5.83,5.89,1.29,0.72,3.88,0.0,4.498446741104126,5.59,165.03,0.03634456833242439,nan,0.02
3308,110952448,6155.653,628,19.7,0.0,222.31,-0.0034849196672439575,32.377437591552734,0.5068067312240601,0.004004212531242501,0.03710174560546875,0.0003,0.24583572659391154,0.8471204188481676,4.15,0.38,1.51,5.73,5.63,1.26,0.74,3.63,0.01,4.283558927178383,5.38,167.39,0.03951112157665193,nan,0.03
3309,111017984,6260.815,628,19.56,0.0,211.42,-0.0092493100091815,30.462772369384766,0.5328654646873474,0.0033189228957724026,0.030109405517578125,0.0003,0.20964360587002095,0.8281596452328159,4.15,0.43,1.39,5.35,5.53,1.05,0.7,3.78,0.0,4.086476393043995,5.15,158.35,0.03438358288258314,nan,0.05
3310,111083520,6363.838,628,19.82,0.0,217.94,-0.004922184627503157,33.8070068359375,0.4980629086494446,0.004361933082350333,0.038875579833984375,0.0003,0.21317715959004394,0.8364030335861322,3.97,0.5,1.72,5.7,5.87,1.37,0.52,3.98,0.0,4.399569519907236,5.37,164.16,0.039674906875006855,nan,0.04
3311,111149056,6462.168,628,20.91,0.0,236.09,-0.0075430842116475105,30.639324188232422,0.5241667032241821,0.004623904856657646,0.041210174560546875,0.0003,0.24345269909139497,0.8463855421686747,4.49,0.44,1.49,5.86,5.99,1.09,0.83,4.07,0.01,4.443686643838882,5.68,173.33,0.03795409225858748,nan,0.02
3312,111214592,6565.96,628,22.93,0.0,252.13,-0.006641103886067867,33.01335525512695,0.5270073413848877,0.0053749050848637125,0.04787445068359375,0.0003,0.23647242455775233,0.8097928436911488,6.23,0.64,1.79,6.61,6.96,1.37,0.94,4.65,0.01,5.387593959867954,6.48,183.89,0.03464270298718475,nan,0.0
3313,111280128,6669.46,628,21.33,0.0,230.84,-0.0062546636909246445,32.23146057128906,0.5177195072174072,0.003928078587478012,0.034023284912109375,0.0003,0.22559293987865417,0.8285714285714286,4.23,0.55,1.38,6.14,6.12,1.14,0.88,4.1,0.0,4.6213635790348055,5.67,178.73,0.036405099992407486,nan,0.0
3314,111345664,6771.26,629,20.01,0.0,217.96,-0.0036066623870283365,28.830516815185547,0.5159185528755188,0.003607749221572476,0.035854339599609375,0.0003,0.17455089820359282,0.8306188925081434,4.44,0.49,1.38,5.82,5.78,0.99,0.6,4.19,0.02,4.455431998968124,5.18,171.26,0.033886457356857136,nan,0.02
3315,111411200,6874.756,629,20.84,0.0,236.55,-0.005584528669714928,29.487499237060547,0.5080256462097168,0.0034479758103032054,0.03537750244140625,0.0003,0.20552579644770227,0.8087378640776699,4.19,0.56,1.52,6.15,6.33,1.33,0.65,4.35,0.01,4.619370038956403,5.67,175.09,0.03873228945303708,nan,0.03
3316,111476736,6976.97,629,19.3,0.0,312.73,-0.003624622244387865,33.51481246948242,0.5042530298233032,0.0023403695240915567,0.021823883056640625,0.0003,0.22592259225922592,0.8062360801781737,4.89,0.52,1.34,5.69,5.97,1.14,0.71,4.12,0.03,4.602821908891201,5.19,162.6,0.036539748252835125,nan,0.0
3317,111542272,7079.558,629,19.78,0.01,223.5,-0.0075106509029865265,32.5728759765625,0.5141202211380005,0.003777801246343415,0.035655975341796875,0.0003,0.22840203274985885,0.8174186778593914,4.3,0.51,1.47,5.62,5.58,1.07,0.64,3.87,0.0,4.211268554031849,5.37,168.56,0.03638468016288243,nan,0.0
3318,111607808,7181.702,629,21.64,0.0,243.65,-0.004276899620890617,33.066463470458984,0.4805404543876648,0.002716886884087444,0.02455902099609375,0.0003,0.2326283987915408,0.8146013448607109,5.4,0.55,1.69,6.23,6.54,1.34,0.79,4.41,0.01,4.8872434911131855,5.82,173.31,0.035761413106229156,nan,0.01
3319,111673344,7286.448,629,21.25,0.0,233.54,-0.0037901359610259533,33.99420928955078,0.49510157108306885,0.002049003780676628,0.018955230712890625,0.0003,0.19767441860465115,0.7888999008919723,4.73,0.56,1.54,5.62,5.67,1.23,0.66,3.78,0.0,4.2761486333608625,5.75,182.15,0.039198927115648985,nan,0.03
3320,111738880,7388.402,629,21.36,0.0,235.39,-0.0055096824653446674,33.38600158691406,0.48909199237823486,0.005467084181390192,0.047870635986328125,0.0003,0.24073550212164074,0.8152929493545183,4.86,0.54,1.63,6.23,6.34,1.33,0.92,4.09,0.01,4.944313772916794,5.85,174.62,0.03486154676647857,nan,0.01
3321,111804416,7493.435,629,21.03,0.0,271.17,-0.005050087347626686,33.37504577636719,0.48470908403396606,0.004670586290501433,0.043285369873046875,0.0003,0.2414486921529175,0.8319919517102615,4.6,0.61,1.41,5.92,6.1,1.23,0.71,4.16,0.01,4.628448897600174,5.57,168.21,0.037414749909657985,nan,0.01
3322,111869952,7596.687,629,18.0,0.0,201.48,-0.009713725186884403,31.616024017333984,0.5015705227851868,0.0034978259794229416,0.029850006103515625,0.0003,0.1668707899571341,0.8271461716937355,3.48,0.37,1.18,5.14,5.37,1.01,0.63,3.73,0.0,4.1921963477134705,4.55,155.44,0.0360232467064634,nan,0.06
3323,111935488,7701.201,629,21.25,0.0,237.36,-0.00576413981616497,32.04756164550781,0.5152196884155273,0.005753123024874185,0.04900360107421875,0.0003,0.18643594753000278,0.8185365853658536,4.28,0.47,1.73,6.4,6.85,1.52,0.89,4.44,0.01,5.130693284273147,5.71,179.09,0.03857346385484561,nan,0.0
3324,112001024,7804.17,629,20.67,0.0,229.39,-0.005552491173148155,31.654420852661133,0.5109533667564392,0.0057243880871169495,0.051952362060546875,0.0003,0.19939243302954984,0.819623389494549,3.34,0.55,1.6,6.15,6.25,1.28,0.76,4.21,0.01,4.700483674257994,5.53,174.8,0.038361550599802285,nan,0.02
3325,112066560,7907.645,629,21.18,0.0,227.68,-0.005709679797291756,29.73887062072754,0.5091716647148132,0.00288093088410335,0.02889251708984375,0.0003,0.16938950988822013,0.8394088669950739,4.62,0.49,1.54,6.14,6.27,1.13,0.77,4.37,0.0,4.923345212936401,5.93,170.4,0.036724821402458474,nan,0.03
3326,112132096,8008.073,630,20.78,0.0,227.45,-0.003666999749839306,31.547298431396484,0.4912700653076172,0.004684912909262096,0.045520782470703125,0.0003,0.19255709049901326,0.8195020746887967,3.93,0.45,1.41,5.88,5.81,1.18,0.66,3.97,0.01,4.351082026362419,5.56,175.58,0.03742182697169483,nan,0.08
3327,112197632,8110.594,630,20.38,0.0,225.16,-0.008527632802724838,32.05492401123047,0.48862189054489136,0.002860160504610576,0.0249786376953125,0.0003,0.2099737532808399,0.808641975308642,3.98,0.48,1.58,5.68,5.65,1.07,0.7,3.88,0.0,4.220718347430229,5.52,171.13,0.03475899205659516,nan,0.07
3328,112263168,8212.131,630,21.11,0.0,236.46,-0.007055218797177076,35.545475006103516,0.48450177907943726,0.004883620985708603,0.0447540283203125,0.0003,0.20346789487943648,0.8025666337611056,5.45,0.5,1.55,5.96,6.16,1.3,0.76,4.1,0.04,4.648580015599728,5.73,182.29,0.03511052671819925,nan,0.02
3329,112328704,8317.306,630,18.74,0.0,238.17,-0.0065812282264232635,33.70682907104492,0.4823654890060425,0.007985381543164749,0.057247161865234375,0.0003,0.16331658291457288,0.8301462317210349,4.28,0.48,1.45,5.31,5.38,1.07,0.61,3.7,0.0,4.175553674995899,5.09,156.59,0.035651387996040285,nan,0.07
3330,112394240,8422.863,630,21.77,0.0,236.86,-0.004015561193227768,32.98777770996094,0.4982535243034363,0.003390781536808163,0.032978057861328125,0.0003,0.1674986134220743,0.8179218303145853,4.9,0.54,1.68,5.72,5.83,1.16,0.81,3.86,0.01,4.481589134335518,6.22,178.23,0.03922211256576702,nan,0.08
3331,112459776,8529.196,630,18.92,0.0,211.01,-0.011388609185814857,33.258480072021484,0.5061690211296082,0.004735701455999219,0.038761138916015625,0.0003,0.16095380029806258,0.7655016910935738,3.53,0.39,1.46,5.37,5.58,1.12,0.72,3.74,0.01,4.21126412063837,5.19,159.07,0.03664856808609329,nan,0.06
3332,112525312,8629.163,630,20.66,0.0,225.3,-0.007115284912288189,36.10237121582031,0.5000194907188416,0.004168769983465381,0.040973663330078125,0.0003,0.1566542109801667,0.8174358974358974,5.08,0.57,1.48,5.66,5.68,1.2,0.75,3.73,0.02,4.373704330921173,5.87,176.14,0.03585722215939313,nan,0.05
3333,112590848,8730.556,630,21.49,0.0,239.86,-0.0032830070704221725,35.97496795654297,0.5004103183746338,0.0028550886284151034,0.0289306640625,0.0003,0.18559556786703602,0.8080313418217434,4.92,0.4,1.9,5.94,5.96,1.52,0.64,3.8,0.0,4.498003401234746,6.05,179.07,0.03656488738488406,nan,0.13
3334,112656384,8834.022,630,22.15,0.0,239.49,-0.00648011127486825,33.834991455078125,0.47716024518013,0.003530751078869576,0.0325775146484375,0.0003,0.19824030794610942,0.7887049659201558,4.35,0.62,1.82,6.32,6.43,1.48,0.9,4.05,0.01,4.968523627519607,6.18,184.4,0.03538495223619975,nan,0.09
3335,112721920,8935.191,630,21.58,0.0,240.75,-0.006550080608576536,33.299842834472656,0.48104625940322876,0.005722662962512004,0.048583984375,0.0003,0.18803418803418803,0.8428571428571429,4.37,0.55,1.68,6.11,6.23,1.45,0.74,4.04,0.0,4.84981338262558,5.81,180.67,0.03700401447713375,nan,0.12
3336,112787456,9036.673,630,19.17,0.0,215.31,-0.005223088897764683,33.83727264404297,0.5021028518676758,0.004205847601411961,0.039730072021484375,0.0003,0.15708812260536398,0.8040904198062433,4.26,0.34,1.3,5.43,5.56,1.17,0.56,3.83,0.0,4.170605300664902,5.04,163.76,0.04081306763691828,nan,0.07
3337,112852992,9142.105,630,20.14,0.0,220.93,-0.00656482670456171,32.773292541503906,0.5014636516571045,0.004616585281496555,0.042552947998046875,0.0003,0.14191134139320669,0.808133472367049,4.25,0.42,1.36,5.83,5.66,1.13,0.72,3.81,0.0,4.307515382170677,5.38,166.34,0.03899685974465683,nan,0.1
3338,112918528,9244.56,630,21.17,0.0,228.74,-0.004172428045421839,34.490135192871094,0.5002850294113159,0.0035708409144206144,0.036407470703125,0.0003,0.13632538569424965,0.8071278825995807,4.43,0.52,1.54,5.71,5.9,1.3,0.76,3.84,0.01,4.5741270304471255,5.82,175.6,0.03907346224877983,nan,0.06
3339,112984064,9346.001,631,23.38,0.01,258.38,-0.01261039637029171,40.21544647216797,0.48760831356048584,0.0036258254088394892,0.03082275390625,0.0003,0.15980315980315982,0.793351302785265,6.15,0.56,1.79,6.61,6.7,1.44,0.9,4.36,0.01,5.023134532868863,6.57,190.12,0.037781260383781046,nan,0.22
3340,113049600,9448.847,631,19.25,0.0,216.67,-0.004975923337042332,35.96167755126953,0.509386420249939,0.006736173625995434,0.05879974365234375,0.0003,0.1888274658132092,0.8235294117647058,4.3,0.37,1.45,5.43,5.21,1.07,0.6,3.54,0.0,4.009278348088264,5.11,163.0,0.03999159432714805,nan,0.13
3341,113115136,9549.333,631,20.39,0.0,231.16,-0.0022007888182997704,33.08514404296875,0.4909517168998718,0.00544290913757095,0.046314239501953125,0.0003,0.15943238731218698,0.8406988694758479,3.69,0.48,1.66,5.69,6.01,1.39,0.73,3.89,0.01,4.482322170138359,5.61,175.41,0.039834467868786305,nan,0.08
3342,113180672,9649.693,631,19.85,0.0,218.65,-0.00899839960038662,34.527225494384766,0.49041640758514404,0.0031409028309639098,0.029178619384765625,0.0003,0.13260305563562985,0.8253138075313807,4.13,0.43,1.54,5.69,5.7,1.08,0.8,3.82,0.01,4.414491563439369,5.26,169.32,0.037914889107923955,nan,0.16
3343,113246208,9753.42,631,22.46,0.0,244.46,-0.0021498766727745533,31.638776779174805,0.4997231960296631,0.0040031019075073004,0.034015655517578125,0.0003,0.17055702917771884,0.8254122211445198,4.28,0.52,1.51,6.11,6.2,1.22,0.83,4.15,0.02,4.724330273270607,6.03,189.92,0.03749549633357674,nan,0.08
3344,113311744,9856.172,631,21.78,0.0,242.78,-0.0045004719868302345,30.000619888305664,0.49332988262176514,0.0035589740142398796,0.03537750244140625,0.0003,0.17374932759548145,0.8267326732673267,4.37,0.48,1.75,6.26,6.26,1.2,0.79,4.27,0.0,4.879807936549187,6.09,182.4,0.03836150950519368,nan,0.11
3345,113377280,9957.781,631,22.08,0.0,247.14,-0.0038844598457217216,33.5906982421875,0.5050383806228638,0.003864779874049873,0.038059234619140625,0.0003,0.18648507071765322,0.7962962962962963,4.39,0.63,1.71,5.87,5.71,1.28,0.78,3.65,0.0,4.330644691735506,6.02,194.3,0.03832025220617652,nan,0.03
3346,113442816,10062.654,631,21.87,0.0,234.83,-0.005792570300400257,29.85309600830078,0.5220896601676941,0.002981935803830993,0.02857208251953125,0.0003,0.14937533948940793,0.7977977977977978,4.23,0.43,1.51,6.0,6.27,1.34,0.74,4.19,0.01,4.765473999977112,5.89,190.25,0.037451965850777924,nan,0.02
3347,113508352,10161.032,632,21.07,0.0,240.3,-0.00438645901158452,34.025875091552734,0.48119041323661804,0.003542945892007765,0.034393310546875,0.0003,0.19413820919602043,0.8236994219653179,4.31,0.55,1.61,5.83,5.97,1.46,0.72,3.79,0.0,4.532622731029988,5.93,174.66,0.03828172042267397,nan,0.08
3348,113573888,10265.838,632,20.51,0.0,221.46,-0.006001478061079979,32.27231979370117,0.5037848949432373,0.0036701009236139726,0.034008026123046875,0.0003,0.17733990147783252,0.8189473684210526,4.01,0.44,1.39,5.76,5.77,0.97,0.69,4.11,0.01,4.430758047699928,5.4,171.68,0.03683059389004484,nan,0.06
3349,113639424,10366.949,632,19.83,0.0,214.05,-0.00997370295226574,30.779338836669922,0.5021124482154846,0.003915350692835773,0.0354766845703125,0.0003,0.1683227943390545,0.8140311804008908,3.86,0.46,1.63,5.23,5.45,1.3,0.63,3.52,0.0,4.259995069503784,5.51,165.33,0.03941188473254442,nan,0.04
3350,113704960,10472.862,632,18.98,0.0,221.81,-0.011612540110945702,30.004751205444336,0.4964298903942108,0.005364070297503076,0.04457855224609375,0.0003,0.16169853768278966,0.8155650319829424,3.59,0.45,1.37,5.68,5.69,0.89,0.73,4.07,0.01,4.328289642930031,4.97,166.03,0.03668757056584582,nan,0.07
3351,113770496,10576.191,632,21.66,0.0,234.72,-0.0072146267630159855,32.309486389160156,0.48798060417175293,0.0032971324760069365,0.02994537353515625,0.0003,0.169905607995558,0.8262626262626263,4.44,0.58,1.61,5.98,5.76,1.07,0.8,3.89,0.01,4.53642863214016,5.86,182.14,0.03702929517021403,nan,0.07
3352,113836032,10682.028,631,20.85,0.0,231.79,-0.009282666258513927,30.672405242919922,0.5142443180084229,0.0037925601650101726,0.033206939697265625,0.0003,0.17856166256494393,0.837,4.26,0.53,1.46,6.26,6.59,1.22,0.88,4.49,0.0,5.191082736253739,5.5,175.07,0.03986609767889604,nan,0.02
3353,113901568,10782.407,632,20.85,0.0,234.46,-0.005565952509641647,31.901718139648438,0.5185390710830688,0.0032307662190191877,0.028961181640625,0.0003,0.20137174211248285,0.7947421638018201,3.63,0.46,1.64,5.86,6.06,1.3,0.61,4.15,0.0,4.6195360499620435,5.86,178.67,0.03861551301088184,nan,0.04
3354,113967104,10882.252,632,21.19,0.0,235.27,-0.002586967311799526,31.925312042236328,0.511009931564331,0.0030721697981448415,0.029682159423828125,0.0003,0.21941527107578768,0.8348623853211009,5.42,0.53,1.64,5.82,5.62,1.4,0.68,3.54,0.0,4.3873755568265915,5.83,177.13,0.03665146592538804,nan,0.06
3355,114032640,10988.886,632,20.69,0.0,235.55,-0.00784676056355238,29.070575714111328,0.5208927392959595,0.002995542148852337,0.02742767333984375,0.0003,0.18891891891891893,0.8295566502463054,3.99,0.54,1.42,6.11,6.13,1.07,0.69,4.37,0.0,4.722909596562386,5.4,173.24,0.03835051623173058,nan,0.02
3356,114098176,11096.954,631,20.11,0.0,228.47,-0.00896685291081667,29.480323791503906,0.5178415775299072,0.00399036612535042,0.03707122802734375,0.0003,0.20901194353963085,0.8374331550802139,3.83,0.4,1.45,5.44,5.69,1.16,0.73,3.8,0.0,4.42746162712574,5.47,179.74,0.03808382846182212,nan,0.02
3357,114163712,11200.115,631,19.74,0.0,218.69,-0.006058213301002979,32.04978942871094,0.5052403211593628,0.0031759937643869307,0.030025482177734375,0.0003,0.19332939787485243,0.8186695278969958,4.02,0.45,1.39,5.19,5.36,1.17,0.63,3.56,0.0,4.10155126363039,5.4,167.33,0.03686187686980702,nan,0.0
3358,114229248,11305.857,631,20.67,0.0,229.15,-0.007277270779013634,30.779037475585938,0.5099018216133118,0.003609684323237161,0.034671783447265625,0.0003,0.16336353340883353,0.7933541017653167,3.82,0.4,1.45,5.96,5.84,1.01,0.65,4.18,0.01,4.633554380908609,5.64,172.93,0.037174473982304335,nan,0.05
3359,114294784,11406.757,631,23.37,0.0,261.88,-0.0052665406838059425,31.103538513183594,0.5102077722549438,0.0025987630314716625,0.02458953857421875,0.0003,0.17612919505425184,0.8185219831618334,5.05,0.54,1.81,6.44,6.61,1.42,0.85,4.34,0.0,4.9959397810697554,6.47,186.93,0.040390615875367075,nan,0.01
3360,114360320,11516.348,631,21.87,0.0,245.26,-0.00735901203006506,34.272186279296875,0.5095586776733398,0.0021438995834728303,0.021877288818359375,0.0003,0.13932885906040268,0.8283220174587779,5.31,0.5,1.49,6.5,6.59,1.28,0.81,4.5,0.0,5.01901872575283,5.73,184.29,0.03750252502504736,nan,0.04
3361,114425856,11618.85,631,22.23,0.0,249.24,-0.006363046355545521,31.521038055419922,0.4939456582069397,0.0036389692674561047,0.033905029296875,0.0003,0.15969786889668194,0.8311567164179104,4.68,0.57,1.69,6.44,6.63,1.44,0.82,4.37,0.0,5.082096846699715,6.33,185.13,0.037628799909725785,nan,0.04
3362,114491392,11725.24,631,22.83,0.0,254.81,-0.0024118078872561455,29.156024932861328,0.4805601239204407,0.003916506828474553,0.03768157958984375,0.0003,0.17860878661087867,0.8168631006346329,4.24,0.55,1.86,6.5,6.29,1.31,0.85,4.13,0.0,4.897478730678558,6.5,189.16,0.036768240213859826,nan,0.05
3363,114556928,11826.591,631,21.96,0.0,241.93,-0.007916858419775963,29.989727020263672,0.4914546012878418,0.0029160918949884262,0.024875640869140625,0.0003,0.16226314384841206,0.8016997167138811,4.21,0.54,1.69,6.12,6.22,1.3,0.82,4.1,0.0,4.7285040217638015,5.86,184.35,0.036299929255619645,nan,0.04
3364,114622464,11930.033,631,22.13,0.0,241.21,-0.0073464009910821915,29.00829315185547,0.4991137981414795,0.0036888672495365427,0.031063079833984375,0.0003,0.166210295728368,0.8225190839694656,5.43,0.55,1.57,5.9,5.83,1.11,0.83,3.89,0.01,4.485156862139702,5.98,180.51,0.03569146918016486,nan,0.01
3365,114688000,12033.192,631,19.95,0.0,221.53,-0.00413472717627883,34.13126754760742,0.494662880897522,0.0023856277997822417,0.024326324462890625,0.0003,0.17571599045346062,0.814935064935065,4.32,0.34,1.68,5.68,6.0,1.4,0.71,3.89,0.0,4.69205882370472,5.64,167.32,0.03799238003557548,nan,0.03
3366,114753536,12136.27,631,25.26,0.0,273.79,-0.008289559744298458,31.775583267211914,0.4799240827560425,0.0035784453377516456,0.031948089599609375,0.0003,0.16363200766650696,0.8072787427626137,5.57,0.73,1.94,6.68,6.85,1.5,1.05,4.3,0.0,5.272599005103111,7.35,202.98,0.036000954802148044,nan,0.0
3367,114819072,12242.087,631,19.48,0.0,224.08,-0.00941208191215992,30.809646606445312,0.4915297031402588,0.004154835863801054,0.036708831787109375,0.0003,0.1284192340915635,0.8338624338624339,4.46,0.48,1.51,5.35,5.81,1.37,0.75,3.69,0.0,4.50467327773571,5.38,156.64,0.033183813880896196,nan,0.01
3368,114884608,12340.306,631,22.02,0.0,242.39,-0.010950077325105667,33.941978454589844,0.4941467046737671,0.0045650462442665685,0.038787841796875,0.0003,0.14324544713237292,0.8172043010752689,4.5,0.64,1.62,5.96,6.21,1.34,0.86,4.01,0.01,4.787784872353077,6.13,186.4,0.03712209174409509,nan,0.0
3369,114950144,12442.112,632,21.56,0.01,241.86,-0.007722731679677963,32.10468292236328,0.4644652009010315,0.003656573308930433,0.031829833984375,0.0003,0.1461162411732754,0.8085519922254616,5.12,0.48,1.79,6.11,6.27,1.31,0.77,4.19,0.0,4.7464288714528085,6.23,180.89,0.04017072659917176,nan,0.0
3370,115015680,12541.2,632,21.66,0.0,240.83,-0.010974960401654243,32.08339309692383,0.4885549545288086,0.002888369579807204,0.02706146240234375,0.0003,0.1302363050483351,0.8151340996168582,4.41,0.58,1.54,6.08,5.99,1.21,0.8,3.98,0.0,4.4536137384176255,5.67,177.22,0.03722135938005522,nan,0.0
3371,115081216,12638.281,632,21.47,0.0,242.68,-0.009097779169678688,30.440937042236328,0.4775903820991516,0.002670234500129709,0.02111053466796875,0.0003,0.14059853190287974,0.804496578690127,4.44,0.49,1.55,5.86,6.28,1.16,0.74,4.38,0.0,4.829160067290068,5.86,175.74,0.03757256272365339,nan,0.0
3372,115146752,12734.261,633,21.06,0.0,232.41,-0.007319984957575798,29.325366973876953,0.4974861145019531,0.004823581026641932,0.039031982421875,0.0003,0.15586987270155586,0.7892561983471075,4.96,0.49,1.62,5.82,5.82,1.39,0.71,3.72,0.0,4.5166696155071255,5.7,170.54,0.033517247007694095,nan,0.02
3373,115212288,12839.556,632,20.79,0.0,233.47,-0.0095298420637846,32.47259521484375,0.5055084228515625,0.0053586761527526505,0.0411224365234375,0.0003,0.16761363636363635,0.8173652694610778,4.3,0.53,1.77,5.69,5.82,1.45,0.7,3.67,0.0,4.335252595245838,5.93,174.41,0.036891509720589966,nan,0.0
3374,115277824,12939.473,633,21.6,0.0,243.06,-0.003655089996755123,29.84540557861328,0.5096560716629028,0.004166917011644955,0.04000091552734375,0.0003,0.14047177312483436,0.8285431119920713,4.46,0.5,1.63,5.87,5.9,1.22,0.77,3.91,0.0,4.58004807651043,5.95,186.01,0.03946904855547473,nan,0.02
3375,115343360,13043.295,633,21.56,0.0,230.46,-0.010472172871232033,31.77734375,0.4917007088661194,0.007183594012019512,0.050289154052734375,0.0003,0.14330042313117067,0.8525073746312685,4.61,0.47,1.45,5.72,5.86,1.07,0.75,4.04,0.01,4.560567398071289,5.88,180.58,0.034082704165484756,nan,0.02
3376,115408896,13141.57,633,21.28,0.0,293.39,-0.009990225546061993,31.043983459472656,0.4986645579338074,0.003782008395376124,0.03314971923828125,0.0003,0.190982917950154,0.8469891411648569,4.96,0.5,1.68,5.54,5.68,1.17,0.71,3.8,0.0,4.453671953082084,5.65,175.56,0.03612221250659786,nan,0.02
3377,115474432,13242.827,633,20.63,0.0,233.99,-0.009436309337615967,35.21171569824219,0.5029751062393188,0.005063394120384146,0.045825958251953125,0.0003,0.1562322140011383,0.8377281947261663,4.81,0.44,1.62,5.67,5.81,1.3,0.71,3.8,0.0,4.560973174273967,5.64,173.82,0.03763546486152336,nan,0.01
3378,115539968,13342.27,633,23.17,0.0,258.44,-0.0075410096906125546,30.913986206054688,0.5063216090202332,0.003103662754966763,0.027446746826171875,0.0003,0.17772692601067888,0.8185840707964602,5.35,0.58,1.76,6.63,6.8,1.3,0.9,4.6,0.0,5.144304214119911,6.37,199.29,0.037705367198213935,nan,0.0
3379,115605504,13442.362,633,20.88,0.0,224.95,-0.007058764807879925,29.379791259765625,0.5247571468353271,0.003215684736574076,0.02964019775390625,0.0003,0.16403046280023434,0.8249227600411947,4.1,0.52,1.66,5.79,5.82,1.24,0.7,3.88,0.0,4.474717502593994,5.7,167.91,0.03896917583188042,nan,0.01
3380,115671040,13542.692,633,19.9,0.0,214.58,-0.004484649747610092,27.992826461791992,0.517722487449646,0.0036443181859482365,0.035678863525390625,0.0003,0.1424278846153846,0.8277356446370531,4.25,0.49,1.31,5.55,5.8,1.31,0.64,3.85,0.0,4.417287106513977,5.21,160.8,0.035373819700907916,nan,0.0
3381,115736576,13647.594,633,20.44,0.0,233.63,-0.004112561233341694,27.892269134521484,0.5094574689865112,0.0029677877875542436,0.030246734619140625,0.0003,0.19741750358680057,0.8353783231083844,4.06,0.52,1.35,5.89,5.86,1.2,0.68,3.98,0.0,4.500203108489513,5.48,169.52,0.0380797780235298,nan,0.02
3382,115802112,13748.927,633,20.55,0.0,230.65,-0.005262368358671665,33.12078857421875,0.4962207078933716,0.003686298849288505,0.03678131103515625,0.0003,0.2001107113202325,0.8416751787538305,3.95,0.47,1.58,5.57,5.69,1.33,0.6,3.76,0.0,4.399888906702399,5.67,173.52,0.03577299538301304,nan,0.01
3383,115867648,13852.914,633,20.73,0.01,223.46,-0.005720557179301977,33.63384246826172,0.4950428009033203,0.0033146091274147693,0.02968597412109375,0.0003,0.175402635431918,0.8211382113821138,4.27,0.5,1.41,5.5,5.81,1.08,0.73,4.0,0.0,4.534004977345466,5.73,168.67,0.0361833484203089,nan,0.0
3384,115933184,13953.93,634,19.41,0.0,213.46,-0.00801839493215084,32.073978424072266,0.5154800415039062,0.003688453961075311,0.033626556396484375,0.0003,0.1543134872417983,0.8552631578947368,3.81,0.47,1.28,5.31,5.34,1.06,0.62,3.66,0.01,4.0158714181184765,4.93,157.72,0.033564667945029214,nan,0.04
3385,115998720,14051.68,634,19.72,0.0,214.53,-0.007035338319838047,31.186246871948242,0.5091325044631958,0.004151601511210856,0.037448883056640625,0.0003,0.19837691614066727,0.8639308855291576,4.28,0.57,1.31,5.69,5.91,1.1,0.77,4.04,0.0,4.3236128056049346,5.35,158.98,0.03485253333928995,nan,0.01
3386,116064256,14154.981,634,21.2,0.0,249.18,-0.006772683933377266,30.440719604492188,0.5064508318901062,0.004048949571966887,0.03894805908203125,0.0003,0.15495750708215297,0.8531468531468531,5.12,0.55,1.47,6.08,6.18,1.2,0.84,4.14,0.01,4.719256864786148,5.61,174.29,0.03730041967355646,nan,0.04
