iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent,potions_discarded
3242,106627072,1366.692,527,19.25,0.0,214.76,-0.008789596147835255,29.679231643676758,0.5444515347480774,0.004892911160197855,0.04510498046875,0.0003,0.2644098810612992,0.8269018743109151,4.3,0.65,1.13,5.32,5.36,0.96,0.71,3.69,0.0,4.002793403863907,4.9,160.87,0.03676022237050347,nan,0.0
3243,106692608,1484.268,529,18.74,0.0,204.04,-0.007275809068232775,33.54228973388672,0.5457698106765747,0.005759409123328396,0.050846099853515625,0.0003,0.2751781840718934,0.8256467941507312,3.29,0.48,1.1,5.2,5.3,0.84,0.62,3.84,0.0,3.984319344162941,4.96,160.46,0.03836620307993144,nan,0.0
3244,106758144,1611.188,528,18.43,0.0,202.63,-0.010482910089194775,26.883014678955078,0.5453101396560669,0.005750572069061377,0.052703857421875,0.0003,0.2251778533869471,0.8110236220472441,3.07,0.53,1.09,5.2,5.11,0.86,0.56,3.69,0.01,3.7849543535709382,4.63,154.4,0.03857056389097124,nan,0.02
3245,106823680,1730.594,530,18.94,0.0,209.99,-0.008772089146077633,33.08793258666992,0.5132337808609009,0.004245244639918155,0.038547515869140625,0.0003,0.25173978819969745,0.8384180790960452,3.77,0.48,1.08,5.4,5.41,0.88,0.55,3.98,0.01,4.092716615200043,4.84,161.52,0.03694402758264914,nan,0.0
3245,106823680,116.681,561,19.96,0.0,217.95,-0.01169575471431017,30.800796508789062,0.5380644798278809,0.005150150311578727,0.0440673828125,0.0003,0.20909090909090908,0.8466386554621849,4.47,0.7,1.04,5.91,5.8,0.94,0.63,4.23,0.01,4.477969908714295,4.8,169.21,0.03974143200321123,nan,0.0
3245,106823680,276.951,236,19.96,0.0,217.95,-0.011695767752826214,30.800796508789062,0.5380644798278809,0.005150149031010187,0.0440673828125,0.0003,0.20909090909090908,0.8466386554621849,4.47,0.7,1.04,5.91,5.8,0.94,0.63,4.23,0.01,4.477969908714295,4.8,169.21,0.03974143217783421,nan,0.0
3246,106889216,647.118,202,18.03,0.0,199.14,-0.008615037426352501,28.326704025268555,0.5542734861373901,0.004048059358296996,0.03762054443359375,0.0003,0.27868357487922707,0.8503480278422274,3.36,0.51,0.91,4.99,4.94,0.79,0.47,3.68,0.01,3.7468977184593677,4.48,153.83,0.03964741976233199,nan,0.0
3245,106823680,111.875,585,19.96,0.0,217.95,-0.011695755645632744,30.800796508789062,0.5380644798278809,0.005150150391614261,0.0440673828125,0.0003,0.20909090909090908,0.8466386554621849,4.47,0.7,1.04,5.91,5.8,0.94,0.63,4.23,0.01,4.477969908714295,4.8,169.21,0.03974143200321123,nan,0.0
3246,106889216,233.78,560,18.03,0.0,199.14,-0.008615294471383095,28.326702117919922,0.5542739033699036,0.004048062151305487,0.03762054443359375,0.0003,0.27868357487922707,0.8503480278422274,3.36,0.51,0.91,4.99,4.94,0.79,0.47,3.68,0.01,3.7468977184593677,4.48,153.83,0.03964741894742474,nan,0.0
3247,106954752,352.175,558,18.93,0.0,214.7,-0.005595937371253967,32.44920349121094,0.582923948764801,0.0041058714325004075,0.0382843017578125,0.0003,0.2419543592744295,0.824,3.88,0.66,1.07,5.24,5.26,0.86,0.59,3.81,0.01,4.046053069829941,4.6,158.78,0.04332804458681494,nan,0.0
3248,107020288,478.571,547,19.72,0.0,223.07,-0.007274673320353031,29.928869247436523,0.557783305644989,0.003951690898446714,0.03730010986328125,0.0003,0.24894751613808588,0.8298097251585623,4.34,0.7,1.05,5.46,5.5,0.88,0.65,3.97,0.0,4.114701978266239,4.92,173.12,0.038270681514404714,nan,0.0
3249,107085824,605.301,541,18.47,0.0,208.24,-0.0032351473346352577,27.527942657470703,0.5457532405853271,0.00691337133286396,0.0572967529296875,0.0003,0.25711717111177707,0.8220640569395018,3.79,0.41,1.03,4.93,4.92,0.75,0.74,3.43,0.0,3.7268314933776856,4.59,158.34,0.04126969736535102,nan,0.0
3250,107151360,720.027,546,18.11,0.0,205.81,-0.004383804276585579,26.941753387451172,0.5517927408218384,0.003553552955992245,0.031711578369140625,0.0003,0.23984808647385333,0.812128418549346,3.33,0.57,1.13,5.09,5.02,0.89,0.66,3.47,0.04,3.703212621808052,4.64,155.49,0.036596004356397316,nan,0.01
3251,107216896,836.776,548,18.5,0.0,214.12,-0.012107707560062408,27.649986267089844,0.5409325361251831,0.004324041207070195,0.036865234375,0.0003,0.22448386158767084,0.8075601374570447,3.27,0.5,0.96,4.97,4.92,0.92,0.52,3.48,0.03,3.6802424824237825,4.47,157.34,0.0362675009528175,nan,0.0
3252,107282432,950.501,551,20.57,0.0,233.76,-0.00800061970949173,29.845680236816406,0.5339493155479431,0.0030888369548307537,0.0287933349609375,0.0003,0.2723735408560311,0.7921940928270043,4.37,0.61,1.17,5.59,5.79,0.85,0.73,4.21,0.0,4.385964792668819,5.06,166.49,0.038741982949431986,nan,0.0
3253,107347968,1066.617,552,19.04,0.0,215.16,-0.0072046006098389626,29.07566261291504,0.5561059713363647,0.004196222202295985,0.03951263427734375,0.0003,0.19994229659549914,0.7925764192139738,3.47,0.56,1.1,5.18,5.11,0.92,0.71,3.48,0.0,3.7081490268558266,4.88,159.49,0.03830615774495527,nan,0.0
3250,107151360,102.865,637,18.88,0.0,197.22,-0.006547724362462759,30.35028076171875,0.5317347645759583,0.0031082553589385498,0.029205322265625,0.0003,0.2260230179028133,0.8130081300813008,4.06,0.54,0.93,5.01,5.08,0.83,0.56,3.69,0.0,3.9853849959373475,4.49,155.15,0.037578724266495556,nan,0.0
3251,107216896,209.916,624,19.53,0.0,218.91,-0.004882999695837498,31.017532348632812,0.5269310474395752,0.0036046461925423046,0.03391265869140625,0.0003,0.20218096080165046,0.8373893805309734,4.74,0.6,1.21,5.07,5.1,1.05,0.5,3.55,0.0,3.768547251224518,5.07,162.31,0.038215288950596005,nan,0.0
3252,107282432,319.096,616,20.33,0.0,233.72,-0.008191429078578949,28.621212005615234,0.5428374409675598,0.0038443183569825123,0.035800933837890625,0.0003,0.23727844482561464,0.8163693599160545,4.35,0.6,1.34,5.41,5.41,0.83,0.56,4.02,0.01,4.003345470428467,5.33,166.01,0.036152475979179144,nan,0.0
3253,107347968,432.314,606,19.46,0.0,212.92,-0.010431917384266853,31.910579681396484,0.5392548441886902,0.0040738449479675864,0.036540985107421875,0.0003,0.24645646514318773,0.8282608695652174,4.6,0.47,0.91,5.36,5.27,0.69,0.69,3.89,0.03,3.900044756233692,4.95,163.97,0.03707427007611841,nan,0.0
3250,107151360,112.064,584,18.88,0.0,197.22,-0.00654772762209177,30.350278854370117,0.5317347049713135,0.003108254485823636,0.029205322265625,0.0003,0.2260230179028133,0.8130081300813008,4.06,0.54,0.93,5.01,5.08,0.83,0.56,3.69,0.0,3.9853849959373475,4.49,155.15,0.03757872444111854,nan,0.0
3251,107216896,225.038,582,19.53,0.0,218.91,-0.004859801381826401,31.016332626342773,0.5271853804588318,0.0036234270577892858,0.033840179443359375,0.0003,0.20218096080165046,0.8373893805309734,4.74,0.6,1.21,5.07,5.1,1.05,0.5,3.55,0.0,3.768547251224518,5.07,162.31,0.03826351428870112,nan,0.0
3252,107282432,330.976,594,20.92,0.0,236.62,-0.009552596136927605,34.813011169433594,0.49602094292640686,0.004366045973505095,0.035221099853515625,0.0003,0.2480916030534351,0.8413865546218487,5.11,0.58,1.17,5.64,5.55,0.81,0.78,3.96,0.01,4.2090676200389865,5.39,163.5,0.038040879531763494,nan,0.0
3253,107347968,436.476,600,20.78,0.0,224.0,-0.006114115938544273,33.0885009765625,0.5187810659408569,0.00214911855746891,0.01930999755859375,0.0003,0.24186179326099372,0.8192032686414709,4.39,0.53,1.26,5.83,5.85,1.09,0.63,4.13,0.0,4.296978925988078,5.52,173.73,0.03744029434164986,nan,0.02
3254,107413504,539.153,607,18.01,0.0,201.57,-0.007646531797945499,34.221805572509766,0.5315205454826355,0.0027047649128491003,0.023593902587890625,0.0003,0.21093507300403852,0.8355995055624228,3.65,0.47,1.1,4.86,4.89,0.91,0.63,3.35,0.01,3.6963515093922616,4.58,155.22,0.036556138191372156,nan,0.0
3255,107479040,641.054,613,20.35,0.0,282.22,-0.007382499519735575,26.930652618408203,0.5179930329322815,0.0023152478138115384,0.019989013671875,0.0003,0.2816326530612245,0.8398791540785498,4.04,0.58,1.03,5.37,5.35,0.86,0.56,3.93,0.0,4.035734798312188,4.89,168.08,0.0370170793030411,nan,0.0
3256,107544576,740.533,619,21.4,0.0,247.83,-0.01032810565084219,27.47124481201172,0.5287580490112305,0.004908642173035105,0.040042877197265625,0.0003,0.24388919065725148,0.8358061325420376,4.95,0.56,1.03,6.14,6.23,0.98,0.83,4.42,0.0,4.847245994210243,5.37,177.86,0.03636002595885657,nan,0.0
3257,107610112,845.724,619,21.55,0.0,239.88,-0.008788373321294785,34.60681915283203,0.5274213552474976,0.004451800314228649,0.0402069091796875,0.0003,0.24328636001063547,0.7899901864573111,5.28,0.54,1.54,5.76,5.79,1.1,0.67,4.02,0.01,4.431110175848008,5.97,180.46,0.03822607526672073,nan,0.0
3258,107675648,949.211,621,19.67,0.0,208.48,-0.0054334597662091255,27.566883087158203,0.5302898287773132,0.0036314196280358146,0.035968780517578125,0.0003,0.2746585735963581,0.8067796610169492,4.4,0.52,1.17,5.33,5.26,0.92,0.56,3.78,0.01,4.088432664275169,5.19,166.41,0.036716011993121356,nan,0.01
3259,107741184,1053.153,622,19.72,0.0,221.55,-0.005114580038934946,30.20038604736328,0.5248287916183472,0.004800015601887253,0.044910430908203125,0.0003,0.23986293546544832,0.8296296296296296,3.73,0.55,1.26,5.56,5.8,1.16,0.62,4.02,0.0,4.312065105438233,5.16,171.75,0.037965167372021824,nan,0.01
3260,107806720,1152.662,625,20.48,0.0,230.2,-0.010768303647637367,28.953975677490234,0.5046505928039551,0.006102301204180094,0.048919677734375,0.0003,0.23612622415669204,0.8333333333333334,3.54,0.63,1.09,5.71,6.01,0.94,0.73,4.34,0.0,4.52464434325695,5.24,180.59,0.035349565237993374,nan,0.01
3261,107872256,1254.199,627,19.26,0.0,216.4,-0.007695196196436882,28.66374969482422,0.5222958922386169,0.004914038719391556,0.043964385986328125,0.0003,0.22688110281447443,0.8640449438202247,3.53,0.45,1.15,5.51,5.56,1.09,0.59,3.88,0.0,4.142035163938999,5.16,165.99,0.03798376343911514,nan,0.02
3262,107937792,1353.906,629,21.18,0.0,240.88,-0.012271278537809849,26.743507385253906,0.5408626794815063,0.0049994361599203785,0.045505523681640625,0.0003,0.2674575357239148,0.8461538461538461,4.01,0.49,1.39,6.31,6.35,1.43,0.7,4.22,0.02,4.77193486481905,5.62,181.14,0.03600250443560071,nan,0.03
3263,108003328,1455.243,630,20.13,0.0,329.35,-0.0059885866940021515,29.124034881591797,0.5124805569648743,0.003965473212815596,0.039783477783203125,0.0003,0.3194760820045558,0.8666666666666667,4.9,0.4,1.28,6.06,6.33,1.22,0.81,4.3,0.03,4.945369909405708,5.21,171.62,0.03876319306436926,nan,0.02
3264,108068864,1553.685,632,17.46,0.0,189.05,-0.010052496567368507,25.54018783569336,0.5400822162628174,0.0040467876779075596,0.03789520263671875,0.0003,0.3030783878133926,0.8452970297029703,3.58,0.37,1.01,5.15,5.23,0.93,0.6,3.7,0.03,3.943049586415291,4.52,154.33,0.03718714619753882,nan,0.0
