iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr
80,1671168,39.615,827,15.53,0.0,163.32,-0.0015806823503226042,0.7862935662269592,0.5501143932342529,0.0007579066478911045,0.00904083251953125,0.0003
81,1703936,82.928,790,14.7,0.0,152.4,-0.0027951430529356003,0.5990098714828491,0.5538974404335022,0.001357599466246029,0.01123046875,0.0003
82,1736704,123.505,795,14.08,0.0,149.24,-0.0002585186157375574,0.605225682258606,0.5531747937202454,0.0014341240246977804,0.0109100341796875,0.0003
83,1769472,162.793,805,13.88,0.0,144.44,-0.003824233077466488,0.5842564105987549,0.5494627952575684,0.0010794743146362862,0.0103607177734375,0.0003
84,1802240,202.826,807,14.62,0.0,155.68,-0.001592571847140789,0.5463449358940125,0.5548968315124512,0.0008286864355966372,0.00772857666015625,0.0003
85,1835008,245.428,801,14.49,0.0,152.3,-0.0032923389226198196,0.672914445400238,0.5534749031066895,0.0007339035697100371,0.007293701171875,0.0003
86,1867776,287.157,798,14.24,0.0,146.12,-0.0021828599274158478,0.6138967275619507,0.542151927947998,0.0005745985178080559,0.0064849853515625,0.0003
87,1900544,328.686,797,14.8,0.0,157.22,-0.0024753324687480927,0.49428790807724,0.5632662177085876,0.0011467078664963992,0.0103302001953125,0.0003
88,1933312,371.661,793,15.3,0.0,155.02,-0.0030079311691224575,0.5204373598098755,0.5583056807518005,0.002740357831200413,0.018890380859375,0.0003
89,1966080,411.059,797,15.13,0.0,158.55,-0.002648024819791317,0.438122034072876,0.554655909538269,0.0016088289673064082,0.015533447265625,0.0003
90,1998848,451.529,798,15.86,0.01,162.31,-0.001753406599164009,0.5080292224884033,0.5304640531539917,0.000739366704948452,0.00665283203125,0.0003
91,2031616,490.179,802,15.19,0.0,158.75,-0.002409685403108597,0.434073805809021,0.5406010150909424,0.0007721404894525108,0.0078887939453125,0.0003
92,2064384,532.289,800,15.18,0.0,159.18,-0.0036428095772862434,0.4748043417930603,0.512366771697998,0.000971585724016677,0.009735107421875,0.0003
93,2097152,577.885,793,14.74,0.0,154.39,-0.002062525600194931,0.49371907114982605,0.5215227603912354,0.0007849346074380037,0.00623321533203125,0.0003
