iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux
976,32014336,57.418,570,16.59,0.0,179.73,-0.0006500664167106152,9.924184799194336,0.5786908864974976,0.00013945752536415057,0.0009307861328125,0.0003,0.22761810373306904,0.8932291666666666,2.06,0.28,1.09,4.33,0.16,0.0,0.0,0.16,0.0,0.11565988168120384,4.21,151.84,0.03573458135360852
977,32047104,127.755,512,17.74,0.0,188.81,-0.0004414110444486141,11.580902099609375,0.5444415807723999,8.41101561945834e-05,0.0005340576171875,0.0003,0.21038435603506406,0.872996300863132,2.91,0.42,1.29,4.45,0.06,0.0,0.0,0.06,0.0,0.046572673916816715,4.71,160.0,0.04165659041609615
978,32079872,195.152,503,17.95,0.0,190.48,-0.0004957099445164204,11.299057006835938,0.5245575904846191,6.875409121676057e-05,0.00028228759765625,0.0003,0.21936951576210595,0.8733880422039859,2.63,0.4,1.2,4.95,0.15,0.0,0.0,0.15,0.0,0.10984099686145782,4.45,162.9,0.04182447353377938
979,32112640,259.729,504,17.33,0.0,182.14,0.00022179167717695236,12.088645935058594,0.5356298089027405,7.765832056350064e-05,0.00032806396484375,0.0003,0.228481455563331,0.8708074534161491,3.77,0.28,1.06,4.35,0.08,0.0,0.0,0.08,0.01,0.05026785761117935,4.46,151.77,0.035385167167987674
980,32145408,319.242,513,20.18,0.0,214.78,0.0005427766591310501,12.483068466186523,0.49756431579589844,0.00014834058566748354,0.000885009765625,0.0003,0.25783431585479366,0.8525980911983033,3.11,0.46,1.4,5.34,0.11,0.0,0.0,0.11,0.0,0.08492441922426223,5.44,175.28,0.041679079644382
981,32178176,378.834,518,17.35,0.0,187.61,0.00015499419532716274,11.139130592346191,0.5382652282714844,9.120911850857283e-05,0.0005645751953125,0.0003,0.20006559527714005,0.878345498783455,2.9,0.43,0.97,4.65,0.08,0.0,0.0,0.08,0.0,0.06362499982118607,4.26,158.87,0.04021240910515189
980,32145408,60.287,543,19.0,0.0,204.01,-0.00011933804489672184,14.880382537841797,0.5455452799797058,0.00010449873317242009,0.00057220458984375,0.0003,0.2449874686716792,0.8756875687568757,2.98,0.42,1.29,5.15,0.17,0.0,0.0,0.17,0.01,0.12476649820804596,5.17,168.72,0.040139598306268454
981,32178176,123.915,528,19.23,0.0,203.74,9.498605504631996e-05,12.52904987335205,0.5307766199111938,0.0001343597904153171,0.00093841552734375,0.0003,0.23081741309113687,0.8804469273743016,3.07,0.37,1.45,4.97,0.09,0.0,0.0,0.09,0.01,0.06376174747943879,5.3,171.91,0.044046418624930084
982,32210944,189.139,519,16.37,0.0,176.69,0.0003739478997886181,11.068153381347656,0.5492293834686279,0.00010731636021432678,0.0005340576171875,0.0003,0.24484806147397833,0.8812260536398467,2.44,0.35,0.98,4.23,0.09,0.0,0.0,0.09,0.01,0.0727788457274437,4.14,147.23,0.039368588593788445
983,32243712,247.323,529,18.08,0.0,189.37,0.00013882946223020554,9.99074935913086,0.5268992781639099,0.0001215423884559641,0.0007171630859375,0.0003,0.19151069518716576,0.8766467065868263,2.97,0.37,1.06,4.73,0.1,0.0,0.0,0.1,0.0,0.06788167715072632,4.51,161.43,0.04206733964383602
984,32276480,310.493,527,16.47,0.0,174.99,-0.009347064420580864,12.248575210571289,0.5077608823776245,0.0023123404370153366,0.0178375244140625,0.0003,0.2176678445229682,0.8829787234042553,2.99,0.43,0.99,4.44,0.12,0.0,0.0,0.12,0.0,0.0814999994635582,4.07,149.4,0.03890086535830051
985,32309248,368.786,533,18.73,0.0,203.54,-0.004755611531436443,12.758060455322266,0.5147196054458618,0.0021486123924319145,0.0194549560546875,0.0003,0.2206439393939394,0.8737316798196166,3.46,0.57,1.23,5.18,0.1,0.0,0.0,0.1,0.02,0.06819597154855728,5.13,171.44,0.04139283567201346
986,32342016,425.223,539,18.0,0.0,195.46,-0.007872462272644043,13.124582290649414,0.542770504951477,0.003428922360271258,0.03154754638671875,0.0003,0.2010939510939511,0.8785046728971962,2.61,0.42,1.2,4.83,0.13,0.0,0.0,0.13,0.01,0.07799996808171272,4.7,168.44,0.039056447334587574
987,32374784,482.699,543,18.58,0.0,193.53,-0.003887161612510681,12.167640686035156,0.49489250779151917,0.0033137948383910043,0.030548095703125,0.0003,0.22524271844660193,0.8885017421602788,3.2,0.46,1.19,4.32,0.09,0.0,0.0,0.09,0.0,0.07184558779001236,4.95,164.84,0.0423024850897491
988,32407552,543.19,542,17.6,0.0,184.32,-0.0046251751482486725,13.220867156982422,0.5141252279281616,0.0018673466236691638,0.01837921142578125,0.0003,0.2,0.8997555012224939,2.7,0.35,1.21,4.63,0.06,0.0,0.0,0.06,0.0,0.03927424311637878,4.73,154.48,0.043344622128643095
989,32440320,600.512,545,18.93,0.0,197.97,-0.005881638266146183,14.44228744506836,0.49942344427108765,0.0013685651011314803,0.0126190185546875,0.0003,0.21430873348372542,0.8861330326944757,3.03,0.47,1.34,5.03,0.2,0.0,0.0,0.2,0.0,0.15861956596374513,5.05,165.08,0.04460426664445549
990,32473088,658.749,547,19.43,0.0,223.29,-0.006630846299231052,12.217585563659668,0.5173131227493286,0.0017075500723535697,0.015777587890625,0.0003,0.22430769230769232,0.8875545851528385,3.1,0.46,1.3,5.49,0.21,0.0,0.0,0.21,0.0,0.18150533467531205,5.18,173.88,0.041961189825087786
991,32505856,718.801,547,18.61,0.0,200.84,-0.0040709772147238255,11.862947463989258,0.508588433265686,0.0012446303094293398,0.0121917724609375,0.0003,0.2384318766066838,0.8677309007981756,3.21,0.52,1.24,5.02,0.1,0.0,0.0,0.1,0.0,0.07073064468801021,5.02,164.61,0.04104230483062565
992,32538624,780.866,545,18.5,0.0,195.99,-0.004639222286641598,12.90307331085205,0.5227832794189453,0.0009208711979340478,0.00702667236328125,0.0003,0.19376606683804629,0.9042553191489362,3.05,0.39,1.3,4.66,0.1,0.0,0.0,0.1,0.02,0.07930493533611298,4.92,166.24,0.038221029099076986
993,32571392,843.364,543,18.79,0.0,199.86,-0.009159215725958347,12.613906860351562,0.4990963041782379,0.0018502478227446773,0.01609039306640625,0.0003,0.2061389337641357,0.8884976525821596,3.51,0.44,1.31,4.87,0.17,0.0,0.0,0.17,0.0,0.12020129919052124,4.97,166.73,0.03998159524053335
994,32604160,901.942,544,20.33,0.0,223.76,-0.004039507359266281,14.498483657836914,0.5141836404800415,0.0034448843381227334,0.02910614013671875,0.0003,0.20948616600790515,0.873269435569755,3.15,0.35,1.17,5.52,0.1,0.0,0.0,0.1,0.0,0.07732987582683563,5.27,178.15,0.0467985316645354
995,32636928,960.716,545,19.32,0.0,204.82,-0.006288893520832062,11.505656242370605,0.502119779586792,0.0030702844310326327,0.0284271240234375,0.0003,0.21625964010282778,0.9037199124726477,3.75,0.48,1.3,5.19,0.08,0.0,0.0,0.08,0.01,0.06206292271614075,5.31,169.76,0.04262716241646558
996,32669696,1020.364,545,17.96,0.0,194.05,-0.005738534033298492,14.349664688110352,0.5251601934432983,0.002075301821719222,0.018157958984375,0.0003,0.21019108280254778,0.8948598130841121,2.42,0.41,1.16,4.89,0.06,0.0,0.0,0.06,0.0,0.049624999463558195,4.91,166.8,0.04491021030116826
997,32702464,1076.085,548,17.53,0.0,191.86,-0.012248307466506958,12.233116149902344,0.5241875648498535,0.002879716029553947,0.024658203125,0.0003,0.21938610662358643,0.8769414575866189,2.44,0.31,1.2,4.95,0.07,0.0,0.0,0.07,0.0,0.04349881686270237,4.7,158.87,0.04356138897128403
998,32735232,1130.856,550,19.11,0.0,209.26,-0.009198054671287537,11.845135688781738,0.49767759442329407,0.0033258646424769722,0.02573394775390625,0.0003,0.22320072881870634,0.8809523809523809,2.52,0.41,1.23,5.17,0.14,0.0,0.0,0.14,0.0,0.09838949888944626,4.85,174.34,0.03829275903990492
999,32768000,1187.989,551,17.91,0.0,189.07,-0.008072737604379654,10.70492935180664,0.5053143501281738,0.004368352788219454,0.035736083984375,0.0003,0.17524752475247524,0.9213075060532687,2.65,0.5,1.05,4.79,0.17,0.0,0.0,0.17,0.0,0.13571886837482453,4.62,163.62,0.04130100295878947
1000,32800768,1244.504,552,18.99,0.0,241.39,-0.004408060573041439,10.83366584777832,0.4492800235748291,0.0027507316669925785,0.02585601806640625,0.0003,0.20081326243353143,0.9090909090909091,3.22,0.42,1.26,5.06,0.11,0.0,0.0,0.11,0.0,0.07582712680101394,4.89,170.21,0.04690918407868594
1001,32833536,1301.721,553,18.27,0.0,190.03,-0.009827712550759315,10.164361953735352,0.49104490876197815,0.0023287722951863543,0.02126312255859375,0.0003,0.17739771965124077,0.8989547038327527,3.28,0.36,1.17,5.08,0.14,0.0,0.0,0.14,0.0,0.10962499946355819,4.68,164.9,0.040496196364983916
1002,32866304,1357.56,555,18.03,0.0,193.83,-0.006362723186612129,13.156106948852539,0.4712631106376648,0.002875525684260083,0.028839111328125,0.0003,0.20012932428063368,0.9112426035502958,2.82,0.52,1.1,5.02,0.13,0.0,0.0,0.13,0.01,0.09553246140480041,4.78,162.06,0.04353306978009641
1003,32899072,1413.566,556,17.7,0.0,188.24,-0.007219288032501936,11.825723648071289,0.5121933221817017,0.0018930768429186173,0.0166778564453125,0.0003,0.15943491422805248,0.9093023255813953,2.39,0.45,1.03,4.66,0.17,0.0,0.0,0.17,0.0,0.13131359964609146,4.5,156.08,0.04197850311174989
1004,32931840,1472.064,556,16.48,0.0,177.22,-0.008380163460969925,11.778120040893555,0.530326247215271,0.002521242769660148,0.0236358642578125,0.0003,0.21522491349480968,0.9127086007702182,2.72,0.34,0.87,4.27,0.06,0.0,0.0,0.06,0.0,0.04587500005960465,4.17,146.0,0.04051491164136678
1005,32964608,1527.854,557,16.71,0.0,180.91,-0.00506332702934742,13.77674388885498,0.5383809804916382,0.003113098740868736,0.03008270263671875,0.0003,0.23541594753192957,0.9016393442622951,2.88,0.37,0.91,4.71,0.07,0.0,0.0,0.07,0.0,0.05103676408529281,4.25,150.48,0.03942809102591127
1006,32997376,1581.318,559,18.78,0.0,203.38,-0.007737352047115564,11.41557502746582,0.5039771199226379,0.0045340483019060684,0.033538818359375,0.0003,0.21206467661691542,0.9248554913294798,3.07,0.48,1.21,5.21,0.2,0.0,0.0,0.2,0.0,0.15999066561460495,4.95,166.58,0.040035373880527914
1007,33030144,1636.887,560,17.73,0.0,189.65,-0.003372672013938427,12.902417182922363,0.5071707963943481,0.0034982637996563426,0.03427886962890625,0.0003,0.20555188367481825,0.9065533980582524,2.71,0.43,1.03,4.87,0.08,0.0,0.0,0.08,0.01,0.05550000011920929,4.42,158.49,0.04585516778752208
