iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost
0,32768,58.26,562,10.76799999948009,0.0,136.58,0.0005909949541091919,1.5748631954193115,0.5951692461967468,0.001406185832877327,0.01483917236328125,0.0006,0.20355812991311542,0.7164179104477612,1.67,0.39,0.5,2.35,0.03,0.0,0.0,0.03,0.01,0.02769852936267853,2.57,98.43
1,65536,116.884,560,11.436500008082948,0.0,148.7,0.00012442469596862793,1.5352709293365479,0.6006360650062561,0.0002200455169685256,0.0012359619140625,0.0006,0.20167109760729207,0.7872628726287263,1.47,0.34,0.48,2.29,0.1,0.0,0.0,0.1,0.08,0.06903291702270507,2.81,103.04
2,98304,178.28,551,10.474500008164904,0.0,138.52,-4.7909561544656754e-05,1.2016358375549316,0.5941673517227173,0.00021237651819205894,0.00091552734375,0.0006,0.2135058633238981,0.7532846715328467,1.05,0.29,0.61,2.06,0.03,0.0,0.0,0.03,0.14,0.020684523582458494,2.74,99.99
3,131072,238.219,550,11.612000006292947,0.0,147.75,-0.00043345685116946697,1.218474268913269,0.6066848635673523,0.0002691020339256056,0.0019378662109375,0.0006,0.19300911854103345,0.7700831024930748,1.4,0.37,0.52,2.19,0.02,0.0,0.0,0.02,0.09,0.01350000023841858,2.99,105.62
4,163840,299.235,547,11.261000013273442,0.0,145.44,-0.00027606263756752014,1.2767831087112427,0.5858426094055176,0.0002646729559785399,0.0017547607421875,0.0006,0.2393617021276596,0.7417027417027418,1.51,0.46,0.5,2.25,0.09,0.0,0.0,0.09,0.07,0.06765282571315766,2.96,104.72
5,196608,362.318,542,10.951500014429913,0.0,145.96,-0.00036864657886326313,1.6221904754638672,0.6033141613006592,0.00024859431797708,0.00148773193359375,0.0006,0.3232998885172798,0.7438848920863309,1.31,0.27,0.51,2.36,0.07,0.0,0.0,0.07,0.08,0.0474647045135498,2.92,101.66
6,229376,423.168,542,11.254500003799912,0.0,139.81,0.00011810590513050556,1.159298300743103,0.5923337340354919,0.00011853812317497159,0.0003509521484375,0.0006,0.1868312757201646,0.7422535211267606,1.3,0.44,0.61,2.25,0.08,0.0,0.0,0.08,0.09,0.05260632187128067,2.95,103.73
7,262144,485.158,540,10.993000001774636,0.0,142.93,0.0004536183550953865,1.4059730768203735,0.6006354093551636,0.00020435513953032114,0.0012359619140625,0.0006,0.17926045016077172,0.7887323943661971,1.4,0.48,0.44,2.14,0.1,0.0,0.0,0.1,0.06,0.07266176551580429,2.72,105.44
8,294912,541.315,544,9.798500001216308,0.0,136.89,0.000204362440854311,0.9046835899353027,0.613507866859436,0.00011088686630955635,0.0003509521484375,0.0006,0.18325883787078423,0.7198795180722891,1.03,0.46,0.5,2.02,0.05,0.0,0.0,0.05,0.07,0.034750000536441804,2.55,102.08
9,327680,598.026,547,10.323000013590791,0.0,143.29,0.0003742703702300787,0.9519380927085876,0.6221247315406799,9.181464024266006e-05,0.00030517578125,0.0006,0.15296893432953204,0.7557142857142857,1.38,0.36,0.49,2.1,0.05,0.0,0.0,0.05,0.06,0.025501865819096567,2.58,99.86
