iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr
300,8880128,51.88,631,19.9,0.0,210.26,-0.009066959843039513,0.825328528881073,0.6076881289482117,0.00417567687826903,0.04102325439453125,0.0006
301,8912896,108.753,602,18.82,0.0,198.55,-0.013053730130195618,0.9346606731414795,0.6158777475357056,0.003658541883964972,0.036376953125,0.0006
302,8945664,161.091,610,19.46,0.0,205.84,-0.011755269952118397,0.8662179708480835,0.5851725339889526,0.0037587849559201914,0.03639984130859375,0.0006
303,8978432,214.815,610,18.08,0.0,192.62,-0.011318710632622242,0.8353157639503479,0.5749193429946899,0.003390264583572389,0.0319061279296875,0.0006
304,9011200,269.207,608,19.25,0.0,209.3,-0.011698506772518158,0.9136070013046265,0.5742602944374084,0.003954226983495346,0.0375823974609375,0.0006
305,9043968,318.792,616,19.98,0.0,215.1,-0.013182534836232662,0.8474239706993103,0.585715651512146,0.0035951330141301696,0.035064697265625,0.0006
306,9076736,371.94,616,20.98,0.0,242.68,-0.011474106460809708,0.9247207641601562,0.6072000861167908,0.00320771078281723,0.0305633544921875,0.0006
307,9109504,423.257,619,20.76,0.0,221.82,-0.006799958646297455,0.8837711215019226,0.5746267437934875,0.0022934207994467215,0.02370452880859375,0.0006
308,9142272,474.067,622,20.07,0.0,209.72,-0.009293957613408566,0.7992752194404602,0.6014019250869751,0.0032818535503338353,0.0327911376953125,0.0006
309,9175040,527.72,620,19.97,0.0,214.89,-0.0145151037722826,0.9812729358673096,0.6191689968109131,0.0037820723392485434,0.0351409912109375,0.0006
310,9207808,579.855,621,19.31,0.0,211.64,-0.0076623535715043545,1.1459890604019165,0.6192476749420166,0.0027197898109534435,0.02819061279296875,0.0006
311,9240576,632.397,621,21.55,0.01,233.39,-0.008248263970017433,0.7950109243392944,0.5908287763595581,0.00278492926233298,0.02591705322265625,0.0006
312,9273344,683.021,623,19.99,0.0,221.47,-0.01505372952669859,0.9963383674621582,0.6272681951522827,0.003803777565394739,0.0380859375,0.0006
313,9306112,735.758,623,20.42,0.0,225.08,-0.012964229099452496,1.1009644269943237,0.6280508041381836,0.0035075116891221114,0.0343780517578125,0.0006
314,9338880,789.206,622,20.02,0.01,208.58,-0.010505281388759613,0.924702525138855,0.611913800239563,0.0033963562390795232,0.034576416015625,0.0006
315,9371648,839.445,624,18.65,0.0,200.96,-0.014236152172088623,1.2465287446975708,0.6048538088798523,0.004237309058851224,0.03891754150390625,0.0006
316,9404416,895.003,622,19.33,0.0,200.1,-0.012195856310427189,1.0475016832351685,0.6038585901260376,0.003326511387854225,0.03020477294921875,0.0006
317,9437184,945.693,623,17.43,0.0,182.09,-0.00899581890553236,0.9694410562515259,0.6226734519004822,0.0033093493202045465,0.03493499755859375,0.0006
318,9469952,995.852,625,19.49,0.0,215.56,-0.0057746646925807,0.9720771908760071,0.6157415509223938,0.0018242737869513803,0.01865386962890625,0.0006
319,9502720,1046.018,626,17.93,0.0,195.25,-0.007836082950234413,1.161787986755371,0.6038510799407959,0.003963554577211426,0.03807830810546875,0.0006
320,9535488,1096.486,627,18.9,0.0,203.71,-0.014035286381840706,0.9305528402328491,0.5781559348106384,0.004228331213155911,0.040771484375,0.0006
321,9568256,1149.946,626,19.35,0.0,204.78,-0.008904583752155304,0.9939833879470825,0.610602855682373,0.004487679476994799,0.04500579833984375,0.0006
322,9601024,1198.526,628,20.22,0.0,212.53,-0.01190253533422947,0.9415866732597351,0.576377272605896,0.0045266609460483664,0.0426788330078125,0.0006
323,9633792,1253.456,627,20.57,0.0,211.01,-0.007563029415905476,0.8518433570861816,0.5902637243270874,0.005493063265532783,0.046783447265625,0.0006
324,9666560,1303.585,628,20.24,0.0,213.7,-0.0135117806494236,0.767249345779419,0.5639708042144775,0.004948042365867877,0.0451507568359375,0.0006
