iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux
366,12025856,49.521,661,17.42,0.0,195.31,-0.00028292578645050526,8.888872146606445,0.5650495290756226,0.00014028681968625278,0.00034332275390625,0.0003,0.14987405541561713,0.9306569343065694,2.18,0.4,1.44,4.8,0.17,0.0,0.0,0.17,0.01,0.11318357616662979,5.05,160.29,0.04193579335696995
367,12058624,108.789,602,17.0,0.0,187.46,-3.68806067854166e-05,11.460199356079102,0.5622435212135315,2.8524189076506445e-05,8.392333984375e-05,0.0003,0.1928851174934726,0.9374201787994891,2.98,0.47,1.32,4.51,0.18,0.0,0.0,0.18,0.0,0.14534222900867463,4.6,162.57,0.04123440955299884
368,12091392,164.796,596,17.36,0.0,194.08,-0.0003356044180691242,11.023473739624023,0.5461506843566895,3.60253692264223e-05,6.866455078125e-05,0.0003,0.14342105263157895,0.9587378640776699,3.32,0.3,1.27,4.62,0.19,0.0,0.0,0.19,0.01,0.12735200315713882,4.91,161.66,0.04584132041782141
369,12124160,219.934,595,17.64,0.0,199.53,3.1515955924987793e-06,12.19023323059082,0.5319266319274902,5.5332675898966954e-05,0.00029754638671875,0.0003,0.16138059701492538,0.9452214452214452,2.23,0.29,1.47,5.05,0.23,0.0,0.0,0.23,0.01,0.15675308659672738,5.02,164.84,0.04041180538479239
370,12156928,276.25,593,16.22,0.0,181.16,-0.00014947867020964622,12.08559799194336,0.5342763662338257,8.26156679778478e-05,0.0003814697265625,0.0003,0.18397524071526822,0.9529569892473119,2.29,0.36,1.17,4.38,0.17,0.0,0.0,0.17,0.01,0.13353750556707383,4.39,150.52,0.04325473413337022
371,12189696,333.178,590,17.69,0.0,197.48,-0.0002538580447435379,11.510927200317383,0.5317906141281128,3.73365214230148e-05,0.000152587890625,0.0003,0.1568627450980392,0.9428571428571428,2.01,0.43,1.2,4.79,0.12,0.0,0.0,0.12,0.0,0.08527724251151085,4.72,160.95,0.04204658616799861
372,12222464,393.217,583,16.77,0.0,189.33,1.283944584429264e-05,10.195915222167969,0.556971549987793,4.710414771125215e-05,0.00014495849609375,0.0003,0.18232772832179361,0.9412515964240102,2.58,0.33,1.21,4.76,0.1,0.0,0.0,0.1,0.01,0.08151236325502395,4.42,156.41,0.04488671396393329
373,12255232,450.35,582,17.47,0.0,188.73,-4.1291117668151855e-05,11.228300094604492,0.5234733819961548,5.4689867241108914e-05,0.00025177001953125,0.0003,0.16205533596837945,0.9466019417475728,2.52,0.5,1.16,4.54,0.15,0.0,0.0,0.15,0.0,0.11027826480567456,4.65,158.41,0.04236192558892071
374,12288000,511.088,577,15.72,0.0,176.32,-0.0048911720514297485,12.61273193359375,0.5492302179336548,0.0016594196998482857,0.01775360107421875,0.0003,0.17700348432055749,0.9506172839506173,2.43,0.34,1.0,4.41,0.19,0.0,0.0,0.19,0.01,0.15320227563381195,3.98,151.76,0.046260397299192846
375,12320768,570.198,574,17.08,0.0,189.15,-0.002477952279150486,11.982732772827148,0.5264745950698853,0.001747053838073498,0.01816558837890625,0.0003,0.16155088852988692,0.9382566585956417,2.1,0.41,1.29,4.83,0.15,0.0,0.0,0.15,0.01,0.12649342119693757,4.73,162.75,0.046809649909846485
376,12353536,629.674,572,18.64,0.0,206.41,-0.004761461168527603,11.84727668762207,0.5335479974746704,0.0014714800264528094,0.0132598876953125,0.0003,0.18238805970149255,0.9280742459396751,2.23,0.56,1.45,5.19,0.16,0.0,0.0,0.16,0.0,0.10655440032482147,5.18,171.83,0.047111340682022274
377,12386304,689.53,570,17.14,0.0,188.62,-0.006936093792319298,11.380024909973145,0.5263051390647888,0.0033301484694447936,0.0319976806640625,0.0003,0.17191601049868765,0.9451371571072319,2.23,0.42,1.05,4.73,0.17,0.0,0.0,0.17,0.01,0.11081519126892089,4.53,162.15,0.04260090785101056
