iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr
276,8093696,70.585,464,17.91,0.0,189.89,-0.01303523126989603,0.7864844799041748,0.6013519763946533,0.0070186413986448315,0.06093597412109375,0.0006
277,8126464,146.963,445,19.28,0.0,209.43,-0.008805646561086178,0.7780550718307495,0.5747503042221069,0.006658974793708694,0.05347442626953125,0.0006
278,8159232,214.202,458,20.16,0.0,213.77,-0.006786723621189594,0.896079957485199,0.5785767436027527,0.007743059032009114,0.06061553955078125,0.0006
279,8192000,273.398,479,18.15,0.0,198.46,-0.01429113931953907,0.9479308724403381,0.5979809761047363,0.007236287401269692,0.06392669677734375,0.0006
280,8224768,330.883,495,18.45,0.0,196.66,-0.01212221384048462,1.0470378398895264,0.5770893096923828,0.0066188992058471285,0.05942535400390625,0.0006
281,8257536,387.561,507,19.07,0.0,202.01,-0.013164883479475975,0.8657311201095581,0.6191143989562988,0.0060632314799704545,0.05431365966796875,0.0006
282,8290304,449.671,510,16.36,0.0,174.8,-0.010439641773700714,1.1308629512786865,0.6321480870246887,0.006420250625239987,0.05384063720703125,0.0006
283,8323072,513.72,510,16.66,0.0,183.67,-0.018212610855698586,0.8265672326087952,0.6379799842834473,0.009329736438814962,0.07294464111328125,0.0006
284,8355840,575.287,512,18.03,0.0,188.39,-0.007543168496340513,1.1845672130584717,0.5964807868003845,0.0069961516645022925,0.0535736083984375,0.0006
285,8388608,640.455,511,17.18,0.0,187.99,-0.014620890840888023,0.9989653825759888,0.6223160028457642,0.007652553347156754,0.06697845458984375,0.0006
286,8421376,702.87,512,19.97,0.0,216.38,-0.013197622261941433,0.8040577173233032,0.5758600234985352,0.008967352728603828,0.0638275146484375,0.0006
287,8454144,757.081,519,17.7,0.0,184.82,-0.011156920343637466,1.0445228815078735,0.5825517773628235,0.005903991497575589,0.054107666015625,0.0006
288,8486912,815.277,522,18.9,0.0,198.66,-0.00830504298210144,0.9628118276596069,0.5488258600234985,0.0061607051721352946,0.05666351318359375,0.0006
289,8519680,874.764,524,18.86,0.0,198.17,-0.006464675068855286,0.9864880442619324,0.5655673742294312,0.006555434640802105,0.0574188232421875,0.0006
290,8552448,940.278,522,17.56,0.0,187.03,-0.019036270678043365,1.142690658569336,0.633079469203949,0.009981750469307826,0.082122802734375,0.0006
291,8585216,1000.458,524,17.88,0.0,189.03,-0.013220523484051228,1.0881905555725098,0.6205559968948364,0.007298288717890955,0.06960296630859375,0.0006
292,8617984,1061.259,524,18.53,0.0,191.75,-0.017519395798444748,1.1056828498840332,0.609309196472168,0.008256411929494334,0.06429290771484375,0.0006
293,8650752,1121.173,526,16.61,0.01,175.94,-0.01449592038989067,1.339319109916687,0.6439644694328308,0.00753347542789129,0.06600189208984375,0.0006
294,8683520,1184.676,525,18.61,0.0,193.15,-0.012852056883275509,0.9558963179588318,0.5929917097091675,0.009129363671235069,0.07137298583984375,0.0006
295,8716288,1241.815,527,19.53,0.0,209.73,-0.012623044662177563,1.0338129997253418,0.5904992818832397,0.007082533736877394,0.0595703125,0.0006
296,8749056,1294.994,531,17.38,0.0,189.18,-0.010478139854967594,0.9218048453330994,0.5878786444664001,0.007321605778287221,0.06124114990234375,0.0006
297,8781824,1350.842,533,17.22,0.0,180.02,-0.013183439150452614,1.1264852285385132,0.5810656547546387,0.006474177479674381,0.0592803955078125,0.0006
298,8814592,1406.374,535,18.01,0.0,196.14,-0.01023564301431179,0.9988382458686829,0.5946769714355469,0.010000280318905652,0.06897735595703125,0.0006
299,8847360,1461.634,538,19.97,0.0,214.84,-0.012472081929445267,0.9247675538063049,0.5773297548294067,0.008954142028528622,0.0664520263671875,0.0006
300,8880128,1517.193,539,19.74,0.0,214.06,-0.011105820536613464,0.8079178333282471,0.5769667625427246,0.010541340823516631,0.07704312193627451,0.0006
301,8912896,1571.692,542,19.45,0.01,229.2,-0.011900032870471478,1.0561926364898682,0.600360631942749,0.0069895444507892535,0.0592193603515625,0.0006
