iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux
1830,59998208,53.698,610,19.09,0.0,203.25,0.0001880154013633728,13.578948020935059,0.4750462472438812,0.00022196825887021987,0.00164031982421875,0.0003,0.191596111633741,0.8806818181818182,3.89,0.46,1.15,4.95,0.15,0.0,0.0,0.15,0.0,0.12082053452730179,4.78,162.04,0.038870917866006494
1831,60030976,112.083,584,18.96,0.0,197.89,-0.0001712364610284567,12.374021530151367,0.45435529947280884,0.0001768578958234457,0.00128936767578125,0.0003,0.19710610932475883,0.8584371460928653,4.06,0.46,1.18,5.14,0.12,0.0,0.0,0.12,0.03,0.09655015349388123,5.03,157.96,0.03859977307729423
1832,60063744,168.061,584,18.15,0.0,205.49,7.118098437786102e-05,11.666460990905762,0.464315801858902,0.00014726976311862927,0.00095367431640625,0.0003,0.2002538876547128,0.8866587957497049,3.01,0.4,1.23,4.55,0.14,0.0,0.0,0.14,0.01,0.11208430260419845,4.71,153.62,0.040343979955650866
1833,60096512,225.137,582,18.93,0.0,200.87,0.00014776457101106644,12.950040817260742,0.45625656843185425,0.0001863561910795397,0.0011444091796875,0.0003,0.1888111888111888,0.867109634551495,3.83,0.43,1.18,4.71,0.12,0.0,0.0,0.12,0.0,0.0999179196357727,4.89,157.31,0.038972393493168056
1834,60129280,281.272,582,18.01,0.0,192.57,7.893331348896027e-05,12.840784072875977,0.45863932371139526,0.00012110472960102925,0.00083160400390625,0.0003,0.1905241935483871,0.8581730769230769,3.81,0.43,1.14,4.66,0.18,0.0,0.0,0.18,0.0,0.12798596948385238,4.65,149.81,0.038417102419771254
1835,60162048,335.817,585,19.26,0.0,209.87,1.6905367374420166e-05,13.09103012084961,0.4450439214706421,9.63547130936604e-05,0.00043487548828125,0.0003,0.1955069823922283,0.8615548455804047,3.14,0.43,1.32,5.15,0.12,0.0,0.0,0.12,0.0,0.0893357652425766,5.17,162.91,0.0380882287863642
1836,60194816,390.081,588,17.6,0.0,197.67,0.0003675827756524086,12.898382186889648,0.4606449604034424,0.00010040853680948203,0.00046539306640625,0.0003,0.2118272841051314,0.8817852834740652,3.52,0.33,1.13,4.59,0.14,0.0,0.0,0.14,0.03,0.10553147196769715,4.44,152.0,0.03976559732109308
1837,60227584,446.743,586,18.35,0.0,203.56,0.0001625390723347664,13.230079650878906,0.4825177788734436,9.301719273935305e-05,0.00038909912109375,0.0003,0.24595172624503514,0.8958810068649885,3.86,0.46,1.21,4.92,0.19,0.0,0.0,0.19,0.01,0.12581474006175994,4.86,156.71,0.037088034208863974
1838,60260352,505.547,583,18.76,0.0,199.08,-0.010789100080728531,13.370976448059082,0.45997369289398193,0.003549637303308373,0.03000640869140625,0.0003,0.2108626198083067,0.8729977116704806,3.86,0.41,1.22,4.8,0.13,0.0,0.0,0.13,0.02,0.10044118911027908,4.82,159.44,0.03977357049006969
1839,60293120,562.784,582,20.29,0.0,210.9,-0.007889204658567905,11.100004196166992,0.43815672397613525,0.0033696685781023916,0.02730560302734375,0.0003,0.2449417535254445,0.8294573643410853,4.1,0.49,1.24,4.98,0.13,0.0,0.0,0.13,0.01,0.09164694271981716,5.18,166.91,0.04375170753337443
