iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent
2340,76709888,1312.218,574,20.34,0.0,216.34,-0.005900762975215912,16.559173583984375,0.46546971797943115,0.00213112610614985,0.01911163330078125,0.0003,0.15666178623718888,0.8878600823045267,4.35,0.41,1.42,5.59,5.45,1.0,0.69,3.76,0.0,4.209082628488541,5.75,170.95,0.03823669208213687,nan
2341,76742656,1368.617,574,21.36,0.0,229.22,-0.00447092205286026,13.902681350708008,0.465215265750885,0.0016869728583515098,0.0151519775390625,0.0003,0.16657334826427772,0.8790560471976401,4.52,0.53,1.53,5.66,5.77,0.94,0.77,4.06,0.01,4.40158871024847,5.9,179.91,0.036114917253144085,nan
2342,76775424,1424.668,575,19.4,0.0,207.88,-0.006918479222804308,15.21474838256836,0.484272837638855,0.0018930098333385104,0.01519775390625,0.0003,0.1840320591861899,0.9059734513274337,4.81,0.5,1.28,5.2,5.14,0.8,0.57,3.77,0.0,3.83980577647686,5.03,164.68,0.04122256184928119,nan
2343,76808192,1485.752,573,20.25,0.0,216.62,-0.0025640535168349743,13.322400093078613,0.47912973165512085,0.004263650456493906,0.0399322509765625,0.0003,0.175789168838691,0.8943436499466382,4.41,0.41,1.55,5.14,5.12,1.1,0.53,3.49,0.02,3.710524170547724,5.86,170.12,0.039290683809667826,nan
2344,76840960,1542.353,573,17.92,0.0,190.68,-0.005091358907520771,14.271368980407715,0.4912668764591217,0.0014060373904243306,0.0142364501953125,0.0003,0.18685233160621761,0.9087591240875912,3.93,0.4,1.18,4.9,4.98,0.91,0.57,3.5,0.0,3.732285069823265,4.89,150.22,0.038581098429858685,nan
2345,76873728,1598.6,573,20.96,0.0,224.86,-0.008534993976354599,16.636951446533203,0.4666828513145447,0.001736482412411533,0.01538848876953125,0.0003,0.18723282986605871,0.890927624872579,5.04,0.38,1.41,5.7,5.63,1.11,0.64,3.88,0.0,4.351925750970841,5.68,172.66,0.03286886680871248,nan
2346,76906496,1656.5,573,19.79,0.0,206.24,-0.00840927753597498,14.642889976501465,0.450918972492218,0.0028127365555974393,0.02508544921875,0.0003,0.20401234567901236,0.8892508143322475,4.27,0.45,1.45,5.43,5.68,1.21,0.68,3.79,0.0,4.271066014766693,5.61,161.87,0.03453626611735672,nan
2347,76939264,1709.303,575,18.9,0.0,198.66,-0.010446500033140182,12.74605941772461,0.4479433298110962,0.0038959074427111773,0.03299713134765625,0.0003,0.1753943217665615,0.9133333333333333,3.91,0.58,1.21,5.35,5.25,1.03,0.71,3.51,0.01,3.9859978944063186,5.09,157.85,0.035927719553001225,nan
2348,76972032,1764.758,575,19.76,0.0,223.27,-0.010645173490047455,13.685547828674316,0.4545353949069977,0.004016570948635945,0.03403472900390625,0.0003,0.19388672460293677,0.9040348964013086,4.14,0.28,1.23,5.71,5.72,0.93,0.66,4.13,0.0,4.437252146005631,5.21,167.42,0.03979067679028958,nan
2349,77004800,1822.408,575,19.13,0.0,206.27,-0.010421733371913433,13.755754470825195,0.48735368251800537,0.0031214314032013135,0.0271148681640625,0.0003,0.20773243326173674,0.911504424778761,4.32,0.44,1.22,5.13,5.35,1.0,0.61,3.74,0.0,4.219307022988796,5.09,160.9,0.03604352043475956,nan
